"","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"4828.2","NEF_GloFung-its2_791_2013",-4.8793,-73.6479,118,379,194,245,795,42,435
"4845","NEF_GloFung-its2_794_2013",-4.9336,-73.7221,118,355,236,187,776,43,454
"4831.3","NEF_GloFung-its2_792_2013",-3.8918,-73.5603,76,327,401,197,682,45,315
"4828.3","NEF_GloFung-its2_791_2013",-4.8793,-73.6479,118,379,194,245,795,42,435
"4845.1","NEF_GloFung-its2_794_2013",-4.9336,-73.7221,118,355,236,187,776,43,454
"4824.4","NEF_GloFung-its2_788_2013",-4.8997,-73.6299,118,350,237,218,807,42,406
"4836.2","NEF_GloFung-its2_793_2013",-3.9758,-73.427,76,313,285,179,889,45,383
"4824.5","NEF_GloFung-its2_788_2013",-4.8997,-73.6299,118,350,237,218,807,42,406
"4845.2","NEF_GloFung-its2_794_2013",-4.9336,-73.7221,118,355,236,187,776,43,454
"4836.3","NEF_GloFung-its2_793_2013",-3.9758,-73.427,76,313,285,179,889,45,383
"4836.4","NEF_GloFung-its2_793_2013",-3.9758,-73.427,76,313,285,179,889,45,383
"4825.7","NEF_GloFung-its2_789_2013",-4.1291,-73.4707,76,330,287,211,1008,45,379
"4845.3","NEF_GloFung-its2_794_2013",-4.9336,-73.7221,118,355,236,187,776,43,454
"4831.4","NEF_GloFung-its2_792_2013",-3.8918,-73.5603,76,327,401,197,682,45,315
"4827.2","NEF_GloFung-its2_790_2013",-3.833,-73.5979,76,301,327,207,586,46,367
"4827.3","NEF_GloFung-its2_790_2013",-3.833,-73.5979,76,301,327,207,586,46,367
"4828.4","NEF_GloFung-its2_791_2013",-4.8793,-73.6479,118,379,194,245,795,42,435
"4831.5","NEF_GloFung-its2_792_2013",-3.8918,-73.5603,76,327,401,197,682,45,315
"4845.4","NEF_GloFung-its2_794_2013",-4.9336,-73.7221,118,355,236,187,776,43,454
"4845.5","NEF_GloFung-its2_794_2013",-4.9336,-73.7221,118,355,236,187,776,43,454
"4827.4","NEF_GloFung-its2_790_2013",-3.833,-73.5979,76,301,327,207,586,46,367
"4836.5","NEF_GloFung-its2_793_2013",-3.9758,-73.427,76,313,285,179,889,45,383
