new.ID,SampleID,latitud,longitud,area,pais,estado  ,localidad,submuestras,area_m2,ultimo_incendio,fecha de colecta,bioma,bioregion,ecoregion,nativeness,advertencia,delta15N,N_conc_g_kg,P_conc_mg_kg,abund,riqueza,mold_Eurotiales_Abundance,mold_Mortierellales_Abundance,mold_Mucorales_Abundance,mold_Trichoderma_Abundance,mold_Umbelopsidales_Abundance
AtlasMXA_MX7_2025,MX7,19.62,-101.33,Mexico:Michoacán:Cuitzeo,México,Michoacán,Joya de la Huerta,40,2500,100,42025,forest: tropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Trans-mexican Volcanic belt Pine-Oak Forests,,,1.06879178,7.221381606,1.697104072,6687,1460,0.463586063,1.480484522,0.149543891,0.059817556,0.059817556
AtlasMXA_MX8_2025,MX8,20.81,-103.86,Mexico:Jalisco:Tequila1,México,Jalisco,Tequila,40,2500,100,42026,forest: subtropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Trans-mexican Volcanic belt Pine-Oak Forests,,,-0.246252353,7.670124399,2.407653061,5411,1145,1.256699316,0.831639253,0.166327851,0.609868786,4.601737202
AtlasMXA_MX9_2025,MX9,20.83,-103.85,Mexico:Jalisco:Tequila2,México,Jalisco,Tequila,40,2500,100,42026,forest: subtropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Trans-mexican Volcanic belt Pine-Oak Forests,,,-0.372240634,4.166774959,2.978755365,5667,1216,0.829362979,0.723486854,0.052938062,0.952885124,0.794070937
AtlasMXA_S036_2025,S036,21.21,-87.19,Mexico:Quintana Roo:El Eden,México,Quintana Roo,El Edén,40,2500,100,40450,forest: subtropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Yucatan Moist Forests,,,3.361789952,16.33356629,1.615046509,4053,1074,0.222057735,0.246730817,0.123365408,0.616827042,0
AtlasMXA_S163_2025,S163,19.17,-97.3,Mexico:Puebla:Tlachichuca,México,Puebla,Apizaco,40,2500,100,2012-05,forest: tropical broadleaf forest biome,Mexican Dry & Coniferous Forests Bioregion,Trans-mexican Volcanic belt Pine-Oak Forests,,,1.437657399,1.841283605,14.83661457,5268,793,7.574031891,3.28397874,1.461655277,1.822323462,10.07972665
AtlasMXA_S164_2025,S164,17.17,-96.64,Mexico:Oaxaca:Santa Catarina Ixtepeji,México,Oaxaca,Cañada de León,40,2500,100,2012-05,forest: tropical coniferous forest biome,Mexican Dry & Coniferous Forests Bioregion,Sierra Madre de Oaxaca Pine-Oak Forests,,,-0.005594808,6.57790002,1.958409045,5070,914,2.820512821,14.51676529,0.927021696,0.276134122,11.49901381
AtlasMXA_S165_2025,S165,22.2,-102.6,Mexico:Aguascalientes:San José de Gracia,México,Aguascalientes,San José de Gracia,40,2500,100,2012-05,shrubland: montane shrubland biome,Sierra Madre Forests and Mexican drylands bioregion,Sierra Madre Occidental Pine-Oak Forests,,,-0.126374899,2.764675413,0.508543531,8617,1065,0.858767553,1.868399675,0.116049669,0.313334107,6.011372868
AtlasMXA_S529_2025,S529,20.94,-90.37,Mexico:Yucatán:Xixim,México,Yucatán,Santa cruz Xixim,40,2500,100,42254,forest: subtropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Mesoamerican Gulf-Caribbean Mangroves.,,,5.082259695,0.553809484,146.7856229,7886,294,1.052498098,0,0.0507228,0.0380421,0
AtlasMXA_S530_2025,S530,20.86,-90.15,Mexico:Yucatán:Bella Flor,México,Yucatán,Bella Flor,40,2500,100,42254,forest: subtropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Yucatan Dry Forests,,,2.864168805,9.59651103,0.603994334,3724,942,0.161117078,0.134264232,0.026852846,3.651987111,0
AtlasMXA_S531_2025,S531,19.96,-89.17,Mexico:Yucatán:Becanchen,México,Yucatán,San Gaspar,40,2500,100,42255,forest: tropical broadleaf forest biome,Yucatan & Veracruz Mixed Forests Bioregion,Yucatan Dry Forests,,,1.40808441,24.68810893,40.17108251,4210,766,0.380047506,0.570071259,0.190023753,1.187648456,0.071258907
