"","new.ID","PermanentID"
"161","NEF_diam_PE37_2025","PE37"
"162","NEF_diam_PE38_2025","PE38"
"175","NEF_diam_PMT10_2025","PMT10"
"176","NEF_diam_PMT11_2025","PMT11"
"177","NEF_diam_PMT12_2025","PMT12"
"178","NEF_diam_PMT13_2025","PMT13"
"179","NEF_diam_PMT14_2025","PMT14"
"180","NEF_diam_PMT15_2025","PMT15"
"181","NEF_diam_PMT16_2025","PMT16"
"182","NEF_diam_PMT17_2025","PMT17"
"183","NEF_diam_PMT18_2025","PMT18"
"188","NEF_diam_ROR_2025","ROR"
"202","NEF_diam_SL1_2025","SL1"
"203","NEF_diam_SL2_2025","SL2"
"204","NEF_diam_SL3_2025","SL3"
"205","NEF_diam_SL4_2025","SL4"
"206","NEF_diam_SL5_2025","SL5"
"207","NEF_diam_SL6_2025","SL6"
"208","NEF_diam_SL7_2025","SL7"
"209","NEF_diam_SL8_2025","SL8"
"210","NEF_diam_SL9_2025","SL9"
"211","NEF_diam_SL10_2025","SL10"
"212","NEF_diam_SL11_2025","SL11"
"213","NEF_diam_SL12_2025","SL12"
"216","NEF_diam_SUR101_2025","SUR101"
"217","NEF_diam_SUR102_2025","SUR102"
"220","NEF_diam_TRI_INS_2025","TRI_INS"
"221","NEF_diam_TRI41_2025","TRI41"
"222","NEF_diam_TRI42_2025","TRI42"
"223","NEF_diam_TRI43_2025","TRI43"
"224","NEF_diam_TRI44_2025","TRI44"
"225","NEF_diam_TRI45_2025","TRI45"
"226","NEF_diam_TRI46_2025","TRI46"
"227","NEF_diam_TRI48_2025","TRI48"
"228","NEF_diam_TRIFT_2025","TRIFT"
"1","NEF_dryf_TAM_2025","TAM"
"2","NEF_dryf_TAM_2025","TAM"
"310","NEF_dryf_TAM_2025","TAM"
"410","NEF_dryf_TAM_2025","TAM"
"510","NEF_dryf_TAM_2025","TAM"
"15","NEF_dryf_VINC_2025","VINC"
"16","NEF_dryf_VINC_2025","VINC"
"171","NEF_dryf_VINC_2025","VINC"
"184","NEF_dryf_VINC_2025","VINC"
"191","NEF_dryf_VINC_2025","VINC"
"2010","NEF_dryf_VINC_2025","VINC"
"214","NEF_dryf_VINC_2025","VINC"
"2210","NEF_dryf_VINC_2025","VINC"
"239","NEF_dryf_VINC_2025","VINC"
"241","NEF_dryf_VINC_2025","VINC"
"251","NEF_dryf_VINC_2025","VINC"
"261","NEF_dryf_VINC_2025","VINC"
"271","NEF_dryf_VINC_2025","VINC"
"431","NEF_dryf_MATGUA_2025","MATGUA"
"44","NEF_dryf_MATGUA_2025","MATGUA"
"45","NEF_dryf_MATGUA_2025","MATGUA"
"46","NEF_dryf_MATGUA_2025","MATGUA"
"47","NEF_dryf_MATGUA_2025","MATGUA"
"48","NEF_dryf_MATGUA_2025","MATGUA"
"49","NEF_dryf_MATGUA_2025","MATGUA"
"50","NEF_dryf_MATGUA_2025","MATGUA"
"51","NEF_dryf_MATGUA_2025","MATGUA"
"52","NEF_dryf_MATGUA_2025","MATGUA"
"53","NEF_dryf_MATGUA_2025","MATGUA"
"54","NEF_dryf_MATGUA_2025","MATGUA"
"551","NEF_dryf_MATGUA_2025","MATGUA"
"561","NEF_dryf_MATGUA_2025","MATGUA"
"571","NEF_dryf_MATGUA_2025","MATGUA"
"65","NEF_dryf_TAME_2025","TAME"
"66","NEF_dryf_TAME_2025","TAME"
"671","NEF_dryf_TAME_2025","TAME"
"681","NEF_dryf_TAME_2025","TAME"
"691","NEF_dryf_TAME_2025","TAME"
"701","NEF_dryf_TAME_2025","TAME"
"711","NEF_dryf_TAME_2025","TAME"
"721","NEF_dryf_TAME_2025","TAME"
"731","NEF_dryf_TAME_2025","TAME"
"741","NEF_dryf_TAME_2025","TAME"
"911","NEF_dryf_COTO_2025","COTO"
"921","NEF_dryf_COTO_2025","COTO"
"931","NEF_dryf_COTO_2025","COTO"
"94","NEF_dryf_COTO_2025","COTO"
"951","NEF_dryf_COTO_2025","COTO"
"961","NEF_dryf_COTO_2025","COTO"
"971","NEF_dryf_COTO_2025","COTO"
"981","NEF_dryf_COTO_2025","COTO"
"991","NEF_dryf_COTO_2025","COTO"
"1001","NEF_dryf_COTO_2025","COTO"
"1011","NEF_dryf_COTO_2025","COTO"
"1021","NEF_dryf_COTO_2025","COTO"
"1031","NEF_dryf_COTO_2025","COTO"
"1121","NEF_dryf_JABI_2025","JABI"
"1131","NEF_dryf_JABI_2025","JABI"
"1141","NEF_dryf_JABI_2025","JABI"
"1151","NEF_dryf_JABI_2025","JABI"
"1161","NEF_dryf_JABI_2025","JABI"
"1171","NEF_dryf_JABI_2025","JABI"
"1181","NEF_dryf_JABI_2025","JABI"
"1191","NEF_dryf_JABI_2025","JABI"
"1201","NEF_dryf_JABI_2025","JABI"
"1211","NEF_dryf_JABI_2025","JABI"
"1221","NEF_dryf_JABI_2025","JABI"
"1231","NEF_dryf_JABI_2025","JABI"
"1241","NEF_dryf_JABI_2025","JABI"
"1251","NEF_dryf_JABI_2025","JABI"
"1261","NEF_dryf_JABI_2025","JABI"
"1301","NEF_dryf_TAMBO_2025","TAMBO"
"1311","NEF_dryf_TAMBO_2025","TAMBO"
"1321","NEF_dryf_TAMBO_2025","TAMBO"
"1331","NEF_dryf_TAMBO_2025","TAMBO"
"1341","NEF_dryf_TAMBO_2025","TAMBO"
"1351","NEF_dryf_TAMBO_2025","TAMBO"
"1361","NEF_dryf_TAMBO_2025","TAMBO"
"1371","NEF_dryf_TAMBO_2025","TAMBO"
"1491","NEF_dryf_CARDL_2025","CARDL"
"1501","NEF_dryf_CARDL_2025","CARDL"
"1511","NEF_dryf_CARDL_2025","CARDL"
"1521","NEF_dryf_CARDL_2025","CARDL"
"1531","NEF_dryf_CARDL_2025","CARDL"
"1541","NEF_dryf_CARDL_2025","CARDL"
"1551","NEF_dryf_CARDL_2025","CARDL"
"1561","NEF_dryf_CARDL_2025","CARDL"
"1571","NEF_dryf_CARDL_2025","CARDL"
"1581","NEF_dryf_CARDL_2025","CARDL"
"1591","NEF_dryf_CARDL_2025","CARDL"
"1601","NEF_dryf_CARDL_2025","CARDL"
"1761","NEF_dryf_CARDP_2025","CARDP"
"1771","NEF_dryf_CARDP_2025","CARDP"
"1781","NEF_dryf_CARDP_2025","CARDP"
"1791","NEF_dryf_CARDP_2025","CARDP"
"1801","NEF_dryf_CARDP_2025","CARDP"
"1811","NEF_dryf_CARDP_2025","CARDP"
"1821","NEF_dryf_CARDP_2025","CARDP"
"1831","NEF_dryf_CARDP_2025","CARDP"
"200","NEF_dryf_MATIT_2025","MATIT"
"201","NEF_dryf_MATIT_2025","MATIT"
"2021","NEF_dryf_MATIT_2025","MATIT"
"2031","NEF_dryf_MATIT_2025","MATIT"
"2041","NEF_dryf_MATIT_2025","MATIT"
"2051","NEF_dryf_MATIT_2025","MATIT"
"2061","NEF_dryf_MATIT_2025","MATIT"
"2071","NEF_dryf_MATIT_2025","MATIT"
"2081","NEF_dryf_MATIT_2025","MATIT"
"2091","NEF_dryf_MATIT_2025","MATIT"
"2231","NEF_dryf_MACUI_2025","MACUI"
"2241","NEF_dryf_MACUI_2025","MACUI"
"2251","NEF_dryf_MACUI_2025","MACUI"
"2261","NEF_dryf_MACUI_2025","MACUI"
"2271","NEF_dryf_MACUI_2025","MACUI"
"2281","NEF_dryf_MACUI_2025","MACUI"
"229","NEF_dryf_MACUI_2025","MACUI"
"230","NEF_dryf_MACUI_2025","MACUI"
"231","NEF_dryf_MACUI_2025","MACUI"
"232","NEF_dryf_MACUI_2025","MACUI"
"233","NEF_dryf_MACUI_2025","MACUI"
"234","NEF_dryf_MACUI_2025","MACUI"
"235","NEF_dryf_MACUI_2025","MACUI"
"236","NEF_dryf_MACUI_2025","MACUI"
"237","NEF_dryf_MACUI_2025","MACUI"
"238","NEF_dryf_MACUI_2025","MACUI"
"163","NEF_spun_Riz2_2025","Riz2"
"215","NEF_spun_Riz1_2025","Riz1"
"311","NEF_spun_Riz3_2025","Riz3"
"411","NEF_spun_Riz4_2025","Riz4"
"511","NEF_spun_Riz5_2025","Riz5"
"610","NEF_spun_Riz6_2025","Riz6"
"710","NEF_spun_Riz7_2025","Riz7"
"8","NEF_spun_Riz8_2025","Riz8"
"9","NEF_spun_Riz9_2025","Riz9"
"10","NEF_spun_Riz10_2025","Riz10"
"11","NEF_spun_Riz11_2025","Riz11"
"12","NEF_spun_Riz12_2025","Riz12"
"13","NEF_spun_Riz13_2025","Riz13"
"1410","NEF_spun_Riz14_2025","Riz14"
"1510","NEF_spun_Riz15_2025","Riz15"
"164","NEF_spun_Riz16_2025","Riz16"
"172","NEF_spun_Riz17_2025","Riz17"
