"","...1","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"309",310,"NEF_diam_SL7_2025",3.563,-53.19,13,419,343,187,458,46,289
"310",311,"NEF_diam_SL8_2025",3.56,-53.186,13,445,337,198,483,47,314
"311",312,"NEF_diam_SL9_2025",3.567,-53.197,13,338,373,178,425,46,265
"312",313,"NEF_diam_SL10_2025",3.569,-53.2,13,333,368,166,428,46,263
"313",314,"NEF_diam_SL11_2025",3.579,-53.197,13,341,376,161,510,46,302
"314",315,"NEF_diam_SL12_2025",3.574,-53.199,13,325,367,165,493,46,259
"315",316,"NEF_diam_SUR101_2025",5.344,-55.766,19,255,533,173,494,43,201
"316",317,"NEF_diam_SUR102_2025",5.229,-55.652,19,208,722,154,396,42,103
"317",318,"NEF_diam_TRI_INS_2025",4.621,-53.409,14,450,391,178,683,47,290
"318",319,"NEF_diam_TRI41_2025",4.598,-53.41,14,342,417,160,687,45,255
"319",320,"NEF_diam_TRI42_2025",4.609,-53.414,14,434,397,157,618,45,275
"320",321,"NEF_diam_TRI43_2025",4.607,-53.402,14,370,433,165,637,44,236
"321",322,"NEF_diam_TRI44_2025",4.595,-53.415,14,356,416,163,659,45,248
"322",323,"NEF_diam_TRI45_2025",4.603,-53.416,14,373,414,161,586,46,241
"323",324,"NEF_diam_TRI46_2025",4.62,-53.409,14,478,372,178,619,48,297
"324",325,"NEF_diam_TRI48_2025",4.62,-53.409,14,478,372,178,619,48,297
"325",326,"NEF_diam_TRIFT_2025",4.619,-53.408,14,478,372,178,619,48,297
"326",327,"NEF_mymo_MYMO1_2025",-31.559,-69.438,20,156,617,149,157,78,246
"327",328,"NEF_mymo_MYMO10_2025",-32.564,-68.882,21,71,598,181,107,79,252
"328",329,"NEF_mymo_MYMO11_2025",-32.558,-68.904,21,86,585,179,151,78,263
"329",330,"NEF_mymo_MYMO12_2025",-32.547,-68.927,21,107,566,174,157,78,275
"330",331,"NEF_mymo_MYMO13_2025",-32.905,-69.01,21,140,521,193,197,78,305
"331",332,"NEF_mymo_MYMO15_2025",-32.905,-68.998,21,149,523,178,224,76,304
"332",333,"NEF_mymo_MYMO16_2025",-33.163,-69.257,21,228,568,234,461,76,226
"333",334,"NEF_mymo_MYMO17_2025",-33.391,-69.245,21,240,625,207,333,77,198
"334",335,"NEF_mymo_MYMO18_2025",-33.132,-68.685,21,109,572,166,128,78,280
"335",336,"NEF_mymo_MYMO19_2025",-33.068,-68.832,21,101,488,161,165,77,336
"336",337,"NEF_mymo_MYMO2_2025",-31.487,-69.401,20,98,646,137,120,78,225
"337",338,"NEF_mymo_MYMO20_2025",-33.188,-68.879,21,86,611,175,86,80,225
"338",339,"NEF_mymo_MYMO21_2025",-33.429,-69.207,21,137,678,188,257,79,165
"339",340,"NEF_mymo_MYMO22_2025",-33.395,-69.181,21,149,647,198,321,76,161
"340",341,"NEF_mymo_MYMO23_2025",-33.394,-69.207,21,175,651,189,308,78,188
"341",342,"NEF_mymo_MYMO24_2025",-33.374,-69.246,21,244,607,206,323,76,211
"342",343,"NEF_mymo_MYMO25_2025",-33.782,-69.107,21,112,701,182,124,76,175
"343",344,"NEF_mymo_MYMO26_2025",-33.596,-69.285,21,226,574,213,262,74,200
"344",345,"NEF_mymo_MYMO27_2025",-33.601,-69.23,21,200,727,187,330,77,116
"345",346,"NEF_mymo_MYMO28_2025",-33.614,-69.276,21,228,571,232,310,72,203
"346",347,"NEF_mymo_MYMO29_2025",-33.608,-69.211,21,178,772,208,257,75,97
"347",348,"NEF_mymo_MYMO3_2025",-31.165,-69.454,20,116,684,152,107,80,204
"348",349,"NEF_mymo_MYMO30_2025",-33.783,-69.131,21,119,709,194,141,77,141
"349",350,"NEF_mymo_MYMO31_2025",-32.457,-67.886,22,75,542,149,88,83,260
"350",351,"NEF_mymo_MYMO32_2025",-32.413,-67.942,22,83,516,155,114,82,276
"351",352,"NEF_mymo_MYMO33_2025",-32.361,-67.83,22,77,575,176,86,84,234
"352",353,"NEF_mymo_MYMO34_2025",-32.418,-67.949,22,69,533,152,169,82,269
"353",354,"NEF_mymo_MYMO4_2025",-31.041,-69.496,20,107,621,145,117,81,245
"354",355,"NEF_mymo_MYMO5_2025",-31.225,-69.457,20,149,720,154,116,80,175
"355",356,"NEF_mymo_MYMO6_2025",-31.604,-69.452,20,124,611,150,132,78,259
"356",357,"NEF_mymo_MymoNS200_2025",-27.241,-66.911,23,149,532,156,114,80,268
"357",358,"NEF_mymo_MymoNS202_2025",-26.587,-65.89,23,127,582,162,94,72,227
"358",359,"NEF_mymo_MymoNS203_2025",-26.612,-65.892,23,144,564,163,130,72,225
"359",360,"NEF_mymo_MymoNS204_2025",-27.228,-66.835,23,174,541,160,199,78,270
"360",361,"NEF_mymo_MymoNS205_2025",-29.319,-67.614,24,115,573,159,184,79,271
"361",362,"NEF_mymo_MymoNS206_2025",-29.306,-67.589,24,90,555,154,147,83,295
"362",363,"NEF_mymo_MymoNS207_2025",-29.528,-67.466,24,90,483,158,105,81,338
"363",364,"NEF_mymo_MymoNS208_2025",-29.391,-67.434,24,110,429,182,106,79,388
"364",365,"NEF_mymo_MymoNS209_2025",-29.197,-67.472,24,105,583,161,171,81,276
"365",366,"NEF_mymo_MymoNS18_2025",-33.82,-69.203,21,207,689,231,344,74,142
"366",367,"NEF_mymo_MymoNS22_2025",-33.492,-69.259,21,219,661,189,350,78,149
"367",368,"NEF_mymo_MymoNS29_2025",-33.417,-69.16,21,147,676,201,142,77,160
"368",369,"NEF_mymo_MymoNS39_2025",-33.542,-69.11,21,117,666,170,178,78,171
"369",370,"NEF_mymo_MymoNS44_2025",-33.431,-69.301,21,223,600,196,257,74,215
"370",371,"NEF_mymo_MymoNS52_2025",-33.461,-69.027,21,96,601,158,111,79,240
"371",372,"NEF_mymo_MymoNS81_2025",-33.341,-69.179,21,186,635,200,318,75,177
