"","...1","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"72",73,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"73",74,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"74",75,"NEF_dryf_TAME_2025",5.784,-75.666,8,409,316,188,461,51,311
"75",76,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"76",77,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"77",78,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"78",79,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"79",80,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"80",81,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"81",82,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"82",83,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"83",84,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"84",85,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"85",86,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"86",87,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"87",88,"NEF_dryf_COTO_2025",6.532,-75.832,8,401,283,185,482,51,307
"88",89,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"89",90,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"90",91,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"91",92,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"92",93,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"93",94,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"94",95,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"95",96,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"96",97,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"97",98,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"98",99,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"99",100,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"100",101,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"101",102,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"102",103,"NEF_dryf_JABI_2025",5.058,-74.828,9,291,264,226,453,51,326
"103",104,"NEF_dryf_TAMBO_2025",5.166,-74.811,9,345,289,182,499,51,329
"104",105,"NEF_dryf_TAMBO_2025",5.166,-74.811,9,345,289,182,499,51,329
"105",106,"NEF_dryf_TAMBO_2025",5.166,-74.811,9,345,289,182,499,51,329
"106",107,"NEF_dryf_TAMBO_2025",5.166,-74.811,9,345,289,182,499,51,329
"107",108,"NEF_dryf_TAMBO_2025",5.166,-74.811,9,345,289,182,499,51,329
"108",109,"NEF_dryf_TAMBO_2025",5.166,-74.811,9,345,289,182,499,51,329
"109",110,"NEF_dryf_TAMBO_2025",5.166,-74.811,9,345,289,182,499,51,329
"110",111,"NEF_dryf_TAMBO_2025",5.166,-74.811,9,345,289,182,499,51,329
"111",112,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"112",113,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"113",114,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"114",115,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"115",116,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"116",117,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"117",118,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"118",119,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"119",120,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"120",121,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"121",122,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"122",123,"NEF_dryf_CARDL_2025",5.085,-74.775,9,296,254,172,414,55,371
"123",124,"NEF_dryf_CARDP_2025",5.084,-74.802,9,335,291,161,520,53,314
"124",125,"NEF_dryf_CARDP_2025",5.084,-74.802,9,335,291,161,520,53,314
"125",126,"NEF_dryf_CARDP_2025",5.084,-74.802,9,335,291,161,520,53,314
