"PermanentID","latitude","longitude","grupo_espacial","To_keep"
"GF05031235S",-54.263,-36.505,1,"yes"
"GF05031234S",-54.262,-36.504,2,"yes"
"GF05031233S",-54.272,-36.516,3,"yes"
"GF05031232S",-54.262,-36.502,4,"yes"
"GF05031231S",-54.266,-36.502,5,"yes"
"GF05018233S",33.014913,-117.281737,24,"yes"
"GF05018232S",33.000836,-117.278305,25,"yes"
"GF05018231S",32.995359,-117.275675,26,"yes"
"GF05018230S",32.992665,-117.275115,27,"yes"
"GF05018191S",32.897725,-117.080372,28,"yes"
"GF05018098S",32.925432,-117.259451,34,"yes"
"GF05018097S",32.928249,-117.257244,35,"yes"
"GF05018076S",32.781087,-117.25379,37,"yes"
"GF05018075S",32.759258,-117.254266,38,"yes"
"GF05018026S",32.846362,-117.234297,40,"yes"
"GF05018025S",32.849619,-117.23275,41,"yes"
"GF05018024S",32.853963,-117.229718,42,"yes"
"GF05007374S",25.73667,-80.30917,127,"yes"
"GF05007373S",25.45155,-80.50221,128,"yes"
"GF05007372S",25.59885,-80.40744,129,"yes"
"GF05007371S",25.63501,-80.30404,130,"yes"
"GF05007370S",25.43619,-80.5057,131,"yes"
"GF05007369S",25.65,-80.37417,132,"yes"
"GF05007368S",25.63481,-80.34043,133,"yes"
"GF05007367S",25.56062,-80.393628,134,"yes"
"GF05007366S",25.725,-80.32,135,"yes"
"GF05007365S",25.49312,-80.50075,136,"yes"
"GF05007364S",25.60667,-80.32083,137,"yes"
"GF05007363S",25.52333,-80.46833,138,"yes"
"GF05007362S",25.44575,-80.48731,139,"yes"
"GF05007361S",25.55684,-80.38748,140,"yes"
"GF04004576S",4.197243,-52.148993,578,"yes"
"GF04004562S",4.192065,-52.150066,580,"yes"
"GF04001045S",17.34724,-96.30418,598,"yes"
"GF01012719S",9.211472,-79.599806,652,"yes"
"GF01012718S",9.160944,-79.742694,653,"yes"
"GF01012717S",9.333889,-79.78,654,"yes"
"GF05030147S",-41.1066,-71.5192,6,"no"
"GF05030144S",-40.9818,-71.5261,7,"no"
"GF05030130S",-40.9799,-71.5249,8,"no"
"GF05030117S",-41.3523,-71.517,9,"no"
"GF05030089S",-40.7832,-71.6066,10,"no"
"GF05030075S",-41.6765,-71.4561,11,"no"
"GF05030042S",-41.1388,-71.4311,12,"no"
"GF05026505S",20.483,-97.5025,13,"no"
"GF05026495S",20.505,-97.8894,14,"no"
"GF05026484S",20.4169,-97.3022,15,"no"
"GF05026475S",20.1791,-96.9036,16,"no"
"GF05023506S",28.129,-81.716,17,"no"
"GF05022648S",-51.307525,-60.226703,18,"no"
"GF05022646S",-51.308797,-60.236472,19,"no"
"GF05022643S",-51.307922,-60.233506,20,"no"
"GF05022640S",-51.307547,-60.237472,21,"no"
"GF05022634S",-51.307453,-60.222119,22,"no"
"GF05022577S",32.966667,-90.733333,23,"no"
"GF05018190S",32.898931,-117.074229,29,"no"
"GF05018187S",32.893948,-117.094633,30,"no"
"GF05018145S",32.87572,-117.249609,31,"no"
"GF05018144S",32.876521,-117.249224,32,"no"
"GF05018142S",32.876289,-117.247355,33,"no"
"GF05018078S",32.795369,-117.227934,36,"no"
"GF05018028S",33.148582,-117.249738,39,"no"
"GF05016744S",-23.51267697,-70.56270724,43,"no"
"GF05016742S",-23.51471715,-70.56187934,44,"no"
"GF05016740S",-23.51610219,-70.56244409,45,"no"
"GF05016738S",-23.51788532,-70.56203424,46,"no"
"GF05016736S",-23.51942779,-70.56220913,47,"no"
"GF05016734S",-23.52114477,-70.56209229,48,"no"
"GF05016732S",-23.52370041,-70.56119207,49,"no"
"GF05016058S",17.581064,-96.401436,50,"no"
"GF05016055S",17.588444,-96.399361,51,"no"
"GF05016052S",17.583433,-96.3935,52,"no"
"GF05015984S",28.11,-81.71,53,"no"
"GF05014667S",-31.4519,-68.7087167,54,"no"
"GF05014650S",-31.47345,-68.7581,55,"no"
"GF05014287S",4.8764,-52.2608,56,"no"
"GF05014255S",4.9116,-52.25897,57,"no"
"GF05014223S",4.56847,-52.17876,58,"no"
"GF05014191S",4.48035,-52.42752,59,"no"
"GF05014159S",4.93856,-52.28857,60,"no"
"GF05014127S",4.9497,-52.30546,61,"no"
"GF05014095S",4.55737,-52.20909,62,"no"
"GF05014063S",4.88418,-52.62919,63,"no"
"GF05013247S",8.7608,-82.2175,64,"no"
"GF05013241S",22.1989,-102.6003,65,"no"
"GF05013235S",-28.1872,-65.8789,66,"no"
"GF05013227S",-49.3761,-72.8811,67,"no"
"GF05013224S",4.5533,-52.2092,68,"no"
"GF05013214S",25.2464,-100.9128,69,"no"
"GF05013205S",-15.81,-48.8522,70,"no"
"GF05013204S",-13.6367,-47.4783,71,"no"
"GF05013199S",9.5958,-84.6139,72,"no"
"GF05013195S",-53.1619,-70.9011,73,"no"
"GF05013187S",4.5542,-52.21,74,"no"
"GF05013176S",-24.0653,-48.9878,75,"no"
