Codigo SPUN,Lista,occurrenceID,basisOfRecord,type,institutionCode,institutionID,collectionCode,collectionID,datasetName,language,recordNumber,recordedBy,sex,lifeStage,preparations,disposition,samplingProtocol,eventDate,continent,country,countryCode,stateProvince,county,municipality,locality,Observaciones de la localidad,Procesamiento muestra ,minimumElevationInMeters,maximumElevationInMeters,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,kingdom,Soil type,Type of forests,EcM forests
Col11,Aida,Udea:Riz11,MaterialSample,PhysicalObject,Universidad de Antioquia,890980040-8,NA,NA,Estudio de hongos de rizosfera,es,Riz11,Aida Marcela Vasco Palacios,,,,,random sampling,22/06/2023,America del Sur,Colombia,CO,Amazonas,Leticia,Leticia,Bosque inundable,,si,53,183,"-4,103","-69,975",WGS84,Fungi,Fungi,clavey,flooding,No
Col12,Aida,Udea:Riz12,MaterialSample,PhysicalObject,Universidad de Antioquia,890980040-8,NA,NA,Estudio de hongos de rizosfera,es,Riz12,Aida Marcela Vasco Palacios,,,,,random sampling,22/06/2023,America del Sur,Colombia,CO,Amazonas,Leticia,Araracuara,White sand forests,,si,53,183,"-4,103","-69,975",WGS84,Fungi,Fungi,sandy,terra firme,Yes
Col13,Aida,Udea:Riz13,MaterialSample,PhysicalObject,Universidad de Antioquia,890980040-8,NA,NA,Estudio de hongos de rizosfera,es,Riz13,Aida Marcela Vasco Palacios,,,,,random sampling,22/08/2023,America del Sur,Colombia,CO,Amazonas,Leticia,Pista Araracuara,White sand forests,,si,100,300,"-4,182","-69,936",WGS84,Fungi,Fungi,sandy,terra firme,Yes
Col14,Aida,Udea:Riz14,MaterialSample,PhysicalObject,Universidad de Antioquia,890980040-8,NA,NA,Estudio de hongos de rizosfera,es,Riz14,Aida Marcela Vasco Palacios,,,,,random sampling,22/08/2023,America del Sur,Colombia,CO,Amazonas,Leticia,Villa Azul,Terra Firme forests P. tropenbosii,,si,100,300,"-4,182","-69,936",WGS84,Fungi,Fungi,clavey,terra firme,Yes
Col15,Aida,Udea:Riz15,MaterialSample,PhysicalObject,Universidad de Antioquia,890980040-8,NA,NA,Estudio de hongos de rizosfera,es,Riz15,Aida Marcela Vasco Palacios,,,,,random sampling,22/04/2024,America del Sur,Colombia,CO,Amazonas,Leticia,Araracuara,Flooding forests,,si,100,300,"-4,182","-69,936",WGS84,Fungi,Fungi,clavey,flooding,No
Col16,Aida,Udea:Riz16,MaterialSample,PhysicalObject,Universidad de Antioquia,890980040-8,NA,NA,Estudio de hongos de rizosfera,es,Riz16,Aida Marcela Vasco Palacios,,,,,random sampling,09/05/2024,America del Sur,Colombia,CO,Putumayo,Mocoa,Puerto Asis,Inundable ,,SI,250,250,"0,589","-76,582",WGS84,Fungi,Fungi,clavey,flooding,No
Col17,Aida,Udea:Riz17,MaterialSample,PhysicalObject,Universidad de Antioquia,890980040-8,NA,NA,Estudio de hongos de rizosfera,es,Riz17,Aida Marcela Vasco Palacios,,,,,random sampling,07/05/2024,America del Sur,Colombia,CO,Putumayo,Mocoa,Mocoa,Tierra Firme,,SI,600,650,"1,103","-76,615",WGS84,Fungi,Fungi,clavey,terra firme,Maybe
Col18,Aida,Udea:Riz18,MaterialSample,PhysicalObject,Universidad de Antioquia,890980040-8,NA,NA,Estudio de hongos de rizosfera,es,Riz18,Aida Marcela Vasco Palacios,,,,,random sampling,09/05/2024,America del Sur,Colombia,CO,Putumayo,Mocoa,Mocoa,Tierra Firme,,SI,600,650,"1,101","-76,625",WGS84,Fungi,Fungi,clavey,terra firme,Non
Col19,Aida,Udea:Riz19,MaterialSample,PhysicalObject,Universidad de Antioquia,890980040-8,NA,NA,Estudio de hongos de rizosfera,es,Riz19,Aida Marcela Vasco Palacios,,,,,random sampling,08/05/2024,America del Sur,Colombia,CO,Putumayo,Mocoa,Mocoa,Canaguchal,,SI,450,480,"0,949","-76,613",WGS84,Fungi,Fungi,clavey,flooding,No
Col20,Aida,Udea:Riz20,MaterialSample,PhysicalObject,Universidad de Antioquia,890980040-8,NA,NA,Estudio de hongos de rizosfera,es,Riz20,Aida Marcela Vasco Palacios,,,,,random sampling,10/05/2024,America del Sur,Colombia,CO,Putumayo,Mocoa,Mocoa,Cañon del Mandiyaco,,SI,650,700,"1,274","-76,572",WGS84,Fungi,Fungi,sandy and rock,terra firme,Non
