PermanentID,location,morrone_biogeoregions_Region,morrone_biogeoregions_Dominio,morrone_biogeoregions_Provincias,climenv_holdridge_class,“”,morrone_biogeoregions_Provincias,ND,algal_parasite,animal-associated,animal_endosymbiont,animal_parasite,arbuscular_mycorrhizal,arthropod-associated,dung_saprotroph,ectomycorrhizal,epiphyte,ericoid_mycorrhizal,foliar_endophyte,lichen_parasite,lichenized,litter_saprotroph,moss_symbiont,mycoparasite,nectar/tap_saprotroph,plant_pathogen,pollen_saprotroph,protistan_parasite,root_endophyte,soil_saprotroph,sooty_mold,unspecified,unspecified_pathotroph,unspecified_saprotroph,unspecified_symbiotroph,wood_saprotroph,sample_type,Sum,Count,% ECM per sample,% ECM per sample_ok,, Hill_q0,  Hill_q1
GF01000690S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000690S,Yungas province,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,root,4,2,0,0,,2,1.754765
GF01000691S,"Yungas region of La Paz, Bolivia",Neotropical,South Brazilian,Yungas province,Dry forest|Moist forest,GF01000691S,Yungas province,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,4,0,2,root,17,5,0,0,,5,4.387465
GF01000692S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000692S,Parana Forest province,49,0,0,0,0,4,0,1,0,0,0,1,0,0,6,0,1,0,19,0,0,0,19,0,0,0,2,0,6,root,108,10,0,0,,10,5.038593
GF01000693S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000693S,Parana Forest province,34,0,0,0,5,12,0,1,0,0,0,1,0,0,1,0,1,0,10,0,0,0,14,0,0,0,4,0,4,root,87,11,0,0,,11,6.269721
GF01000694S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000694S,Parana Forest province,48,0,0,0,0,5,0,0,0,0,0,3,0,0,5,0,2,0,11,0,0,2,27,1,0,0,2,0,13,root,119,11,0,0,,11,5.871355
GF01000695S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000695S,Parana Forest province,78,0,0,0,2,9,0,1,0,0,0,2,0,0,8,0,7,0,7,0,0,0,3,0,0,0,2,0,12,root,131,11,0,0,,11,4.529865
GF01000696S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000696S,Parana Forest province,48,0,0,0,1,2,0,0,0,0,0,4,0,0,1,0,1,0,9,0,0,0,7,0,0,0,3,0,4,root,80,10,0,0,,10,4.240559
GF01000697S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000697S,Parana Forest province,57,0,0,0,1,7,0,0,0,0,0,4,0,0,7,0,3,2,26,0,0,0,16,1,0,0,2,0,19,root,145,12,0,0,,12,6.318282
GF01000698S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000698S,Parana Forest province,37,0,0,0,1,2,0,0,0,0,0,3,0,0,5,0,2,1,6,0,0,3,10,0,0,0,0,0,13,root,83,11,0,0,,11,5.993611
GF01000699S,Northeast Argentina,Neotropical,Parana,Parana Forest province,Dry forest|Moist forest,GF01000699S,Parana Forest province,28,0,0,0,2,22,0,0,0,0,0,1,0,0,2,0,4,0,6,0,0,0,17,0,0,0,3,0,8,root,93,10,0,0,,10,6.429457
