plot_id;tokeep_NEF;alternative_plot_id;site_id;site_name;habitat;habitat_simple;project;seq_run;fg_soil_project;latitude;longitude;altitude;eDNA_sequence_data_available;phys_chem_data_available;phys_chem_patches_analyzed;clay;silt;sand;pH;TN;OC;CN;AP
GALP2;yes;GALP2;GAL;Galbao;Terra Firme;Terra Firme;DIAMOND;GALBAO;yes;360.077;-5.326.683;465;yes;yes;NA;1.750.925;580.295;2.446.375;43.775;0.39178;459.951;1.170.532;0.3771
GALP3;yes;GALP3;GAL;Galbao;Terra Firme;Terra Firme;DIAMOND;GALBAO;yes;360.422;-532.674;525;yes;yes;NA;1.423.154;6.943.083;1.633.967;43.975;0.29374;350.921;1.194.584;0.28633
GALP4;yes;GALP4;GAL;Galbao;Cloud Forest;Cloud Forest;DIAMOND;GALBAO;yes;358.857;-5.328.298;721;yes;yes;NA;156.338;3.001.238;6.842.692;4.255;16.276;2.043.681;126.851;2.407
GALP5;yes;GALP5;GAL;Galbao;Cloud Forest;Cloud Forest;DIAMOND;GALBAO;yes;36.036;-5.328.068;688;yes;yes;NA;859.896;5.470.054;3.670.321;39.825;0.70629;926.288;1.310.076;0.35062
GALP6;yes;GALP6;GAL;Galbao;Cloud Forest;Cloud Forest;DIAMOND;GALBAO;yes;359.633;-5.327.725;725;yes;yes;NA;586.238;6.393.313;3.020.638;4.09;0.59707;7.021;1.175.305;107.375
GALP7;yes;GALP7;GAL;Galbao;Seasonally Flooded Forest;Seasonally Flooded Forest;DIAMOND;GALBAO;yes;360.722;-5.328.757;552;yes;yes;NA;970.808;5.667.138;3.362.304;4.235;0.61547;883.173;14.41;0.77588
GALP8;yes;GALP8;GAL;Galbao;Seasonally Flooded Forest;Seasonally Flooded Forest;DIAMOND;GALBAO;yes;360.167;-5.327.483;580;yes;yes;NA;1.141.963;5.402.121;3.456.217;3.88;0.57242;773.524;1.351.579;0.88705
GM1;ask;GM1;GM;Grand Macoua;Savanna;Savanna;BING;BING;yes;554.232;-5.341.758;2;yes;yes;1;9.195;65.909;248.975;4.74;0.36605;479.015;1.308.605;0.20482
GM2;ask;GM2;GM;Grand Macoua;Savanna;Savanna;BING;BING;yes;553.981;-5.341.362;2;yes;yes;1;8.388;65.405;262.135;4.89;0.19219;241.432;1.256.232;0.17403
GR;ask;GR;GR;Garre-Rocheau;Savanna;Savanna;BING;BING;yes;537.966;-5.305.548;873.107;yes;yes;1;11.895;39.729;590.865;4.57;0.11488;14.227;1.238.407;0.07025
GRS1;ask;A_BF;GRS;Gros-Saut;Seasonally Flooded Forest;Seasonally Flooded Forest;BING;BUG;yes;4.177.203.001;-5.400.243.499;81;yes;yes;4;2.498.125;4.755.625;49.864.125;5.05;0.394100335;6.891.770.781;1.814.749.598;8.128
GRS2;ask;A_TF;GRS;Gros-Saut;Terra Firme;Terra Firme;BING;BUG;yes;4.169.684.015;-5.400.025.201;115;yes;yes;4;1.497.125;62.689.875;22.341.375;42.675;0.189168152;3.532.351.494;1.862.045.417;5.366
GRS3;ask;B_BF;GRS;Gros-Saut;Seasonally Flooded Forest;Seasonally Flooded Forest;BING;BUG;yes;4.163.186.029;-5.398.172.004;81;yes;yes;4;1.843.625;458.555;523.045;4.18;0.113720356;2.244.932.532;1.979.479.906;3.354
GRS4;ask;B_TF;GRS;Gros-Saut;Terra Firme;Terra Firme;BING;BUG;yes;4.164.016.005;-5.399.416.298;140;yes;yes;4;92.215;56.164.375;34.617;4.165;0.149833748;299.516.964;2.003.928.504;2.434
GRS5;ask;C_BF;GRS;Gros-Saut;Seasonally Flooded Forest;Seasonally Flooded Forest;BING;BUG;yes;4.162.202.999;-5.400.401.599;93;yes;yes;4;58.155;65.456.375;2.873.075;4.185;0.229822897;4.158.356.488;1.806.600.051;4.084
GRS6;ask;C_TF;GRS;Gros-Saut;Terra Firme;Terra Firme;BING;BUG;yes;4.157.904.005;-5.400.878.898;143;yes;yes;4;17.861.875;55.628.375;26.512.875;39.925;0.174907737;336.582.619;1.933.830.338;1.456
GRS7;ask;D_BF;GRS;Gros-Saut;Seasonally Flooded Forest;Seasonally Flooded Forest;BING;BUG;yes;4.163.969.988;-5.401.548.604;96;yes;yes;4;90.425;63.466.125;2.749.375;45.725;0.193139825;3.177.661.896;1.655.384.555;4.504
GRS8;ask;D_TF;GRS;Gros-Saut;Terra Firme;Terra Firme;BING;BUG;yes;4.163.965.965;-5.400.883.701;141;yes;yes;4;11.594.875;54.716.125;33.219.625;40.425;0.174568314;3.423.711.598;195.176.849;1.714
GUY;yes;GUY;GUY;Guyakaw;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;456.847;-5.217.876;NA;yes;yes;1;47.05;26.65;26.3;5.37;8.28;131.75;1.584.655.771;0.0125
IT01;yes;IT01;IT;Itoupe;Cloud Forest;Cloud Forest;DIADEMA;DIAMOND;yes;302.668;-5.307.673;762;no;yes;NA;4.475.667;32.77;2.247.333;453.667;365.667;473.667;1.295.667;226.667
IT02;yes;IT02;IT;Itoupe;Cloud Forest;Cloud Forest;DIADEMA;DIAMOND;yes;302.236;-5.308.378;819;no;yes;NA;4.080.667;2.977.333;29.42;460.333;4.15;542.333;1.307.333;253.333
IT03;yes;IT03;IT;Itoupe;Cloud Forest;Cloud Forest;DIADEMA;DIAMOND;yes;301.576;-5.308.743;750;no;yes;NA;62.44;899.667;2.856.333;4.74;276.667;355.333;12.87;173.333
IT04;yes;IT04;IT;Itoupe;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;303.294;-5.309.624;577;no;yes;NA;78.25;8.36;1.338.667;454.333;2.66;324.333;12.24;126.667
IT05;yes;IT05;IT;Itoupe;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;30.226;-5.309.705;596;no;yes;NA;7.491.333;930.333;1.578.667;4.73;2.72;329.333;12.13;1.2
IT06;yes;IT06;IT;Itoupe;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;301.262;-5.309.963;631;no;yes;NA;7.920.333;1.182.333;897.667;461.333;268.667;337.333;12.61;153.333
IT07;yes;IT07;IT;Itoupe;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;303.409;-5.310.521;521;no;yes;NA;8.685.333;644.333;670.333;447.333;2.24;270.667;12.11;1.8
IT08;yes;IT08;IT;Itoupe;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;302.197;-5.310.632;529;no;yes;NA;1.495.667;4.843.667;36.61;622.333;2.43;222.333;917.667;2
IT09;yes;IT09;IT;Itoupe;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;301.717;-5.310.754;529;no;yes;NA;8.321.333;863.333;816.333;5.66;305.667;2.98;9.77;1.8
KAR1;ask;K1;KAR;Karouabo;Savanna;Savanna;BING;BING;yes;523.437;-5.280.878;8;yes;yes;1;1.112;26.057;72.831;5.11;0.0687;10.041;146.185;0.3
KAR2;ask;K2;KAR;Karouabo;Savanna;Savanna;BING;BING;yes;523.705;-5.280.337;8;yes;yes;1;13.528;75.881;10.591;4.86;0.1669;22.808;1.366.675;0.64
KAPTF;yes;KAP;KAP;Saut-Lavilette;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;415.005;-5.220.235;NA;yes;yes;NA;65.225;5.875;28.9;50.975;29.575;44.425;1.499.358;0.00575
KAPBF;yes;KAPBF;KAP;Saut-Lavilette;Seasonally Flooded Forest;Seasonally Flooded Forest;DIAMOND;DIAMOND;yes;415.339;-5.220.204;NA;yes;yes;NA;11.2;5.6;83.2;47.325;2.39;40.925;1.713.929;0.027
KAW70-C;yes;KAW70-C;KAW;Kaw;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;455.718;-5.220.976;282;no;yes;NA;3.263.333;2.886.667;38.5;533.333;0.29667;3.46;1.163.333;1.946.667
KAW71-G;yes;KAW71-G;KAW;Kaw;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;45.681;-5.217.843;254;no;yes;NA;28.4;4.176.667;2.983.333;5.3;0.32667;3.76;11.49;29.2
KAW72-T;yes;KAW72-T;KAW;Kaw;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;460.819;-5.228.029;221;no;yes;NA;5.106.667;3.416.667;1.476.667;526.667;0.23767;173.933;1.230.333;45.7
KOT1;yes;KOT1;KOT;Montagne Kotika;Cloud Forest;Cloud Forest;PAG;KOTIKA;yes;3.942.947;-54.184.046;729;yes;yes;2;285.275;2.092.175;68.395;3.78;157.445;238.167;1.543.745;23.396
KOT10;yes;KOT10;KOT;Montagne Kotika;Swamp;Seasonally Flooded Forest;PAG;KOTIKA;yes;395.488.098;-54.183.623;572;yes;yes;2;274.975;1.990.675;7.146.275;4.61;24.035;340.047;1.416.575;109.66
KOT2;yes;KOT2;KOT;Montagne Kotika;Cloud Forest;Cloud Forest;PAG;KOTIKA;yes;393.937.597;-54.185.562;742;yes;yes;2;31.765;3.937.375;568.075;4.135;119.975;1.753.835;146.144;19.652
KOT3;yes;KOT3;KOT;Montagne Kotika;Cloud Forest;Cloud Forest;PAG;KOTIKA;yes;393.311.301;-54.186.308;739;yes;yes;2;3.011;377.765;592.145;4.125;125.815;178.964;142.207;15.544
KOT4;yes;KOT4;KOT;Montagne Kotika;Terrafirme;Terra Firme;PAG;KOTIKA;yes;393.350.001;-54.195.162;568;yes;yes;2;2.463.125;6.881.125;6.561;3.95;0.4472;73.925;16.561;2.58
KOT5;yes;KOT5;KOT;Montagne Kotika;Terrafirme;Terra Firme;PAG;KOTIKA;yes;393.137.201;-54.193.714;616;yes;yes;2;32.339;574.885;10.176;4.11;0.43045;62.719;1.449.615;1.98
KOT6;yes;KOT6;KOT;Montagne Kotika;Terrafirme;Terra Firme;PAG;KOTIKA;yes;393.704.203;-54.191.489;639;yes;yes;2;694.875;600.865;328.805;4.92;0.5429;677.935;1.247.455;4.724
KOT7;yes;KOT7;KOT;Montagne Kotika;Terrafirme;Terra Firme;PAG;KOTIKA;yes;393.064.496;-54.201.527;482;yes;yes;2;245.295;689.995;647.325;4.57;0.36875;43.435;1.176.735;3.148
KOT8;yes;KOT8;KOT;Montagne Kotika;Terrafirme;Terra Firme;PAG;KOTIKA;yes;393.036.702;-5.419.731;539;yes;yes;2;23.575;62.503;13.926;3.995;0.56595;81.695;144.274;3.852
KOT9;yes;KOT9;KOT;Montagne Kotika;Terrafirme;Terra Firme;PAG;KOTIKA;yes;393.586.999;-54.197.834;547;yes;yes;2;21.804;706.775;75.205;3.995;0.42565;591.375;1.387.925;2.32
LAU1;yes;LAU01;LAU;Laussat;White-Sand;White-Sand;DIADEMA;DIAMOND;yes;547.854;-5.359.726;54;no;yes;NA;0.432;1.034;98.536;NA;0.692;1.342;1.94;2.174
LAU2;yes;LAU02;LAU;Laussat;White-Sand;White-Sand;DIADEMA;DIAMOND;yes;548.423;-5.359.635;54;no;yes;NA;1;1;98;NA;0.023;0.51;22.17;1.6
LAU21;yes;LAU21;LAU;Laussat;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;546.518;-5.358.719;49;no;yes;NA;20;2;78;NA;0.118;1.71;14.49;1.9
LAU3;yes;LAU03;LAU;Laussat;White-Sand;White-Sand;DIADEMA;DIAMOND;yes;547.518;-5.358.684;55;yes;yes;NA;1;1;99;NA;0.071;1.43;20.14;1
LAU4;yes;LAU04;LAU;Laussat;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;548.177;-5.357.595;57;no;yes;NA;23;2;75;NA;0.083;1.26;15.18;2.8
LAU5;yes;LAU05;LAU;Laussat;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;548.516;-5.359.144;54;no;yes;NA;21;1;78;NA;0.097;1.44;14.85;3.2
LAU6;yes;LAU06;LAU;Laussat;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;546.854;-5.358.046;54;yes;yes;NA;17;1;82;NA;0.123;1.81;14.72;2.2
LAU7;yes;LAU07;LAU;Laussat;Seasonally Flooded Forest;Seasonally Flooded Forest;DIADEMA;DIAMOND;yes;547.096;-5.357.872;54;yes;yes;NA;3;1;96;NA;0.206;4;19.42;5.9
LAU8;yes;LAU08;LAU;Laussat;Seasonally Flooded Forest;Seasonally Flooded Forest;DIADEMA;DIAMOND;yes;547.188;-5.359.334;52;no;yes;NA;3;2;95;NA;0.099;2.2;22.22;1.3
LAU9;yes;LAU09;LAU;Laussat;Seasonally Flooded Forest;Seasonally Flooded Forest;DIADEMA;DIAMOND;yes;546.339;-5.357.997;50;no;yes;NA;7;6;87;NA;0.132;2.19;16.59;3.9
MAIBF;yes;MAIBF;MAI;Maipouri;Seasonally Flooded Forest;Seasonally Flooded Forest;DIAMOND;DIAMOND;yes;514.351;-5.399.622;125;yes;yes;NA;47.7;17.25;35.05;46.375;6.185;96.075;1.548.771;0.01575
MAITF;yes;MAIT;MAI;Maipouri;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;514.326;-5.399.739;131;yes;yes;NA;51.275;16.95;31.775;4.97;5.76;98.975;1.714.759;0.00875
MAT1;ask;MAT1;MAT;Matiti;Savanna;Savanna;BING;BING;yes;506.364;-5.260.409;3;yes;yes;1;2.85;41.084;56.056;4.87;0.06291;0.87747;139.486;1.12
MIT1;yes;MIT01;MIT;Mitaraka;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;224.361;-5.445.882;341;no;yes;NA;4.224.333;996.333;47.79;454.667;1.92;258.667;1.341.333;226.667
MIT2;yes;MIT02;MIT;Mitaraka;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;223.857;-5.445.259;336;no;yes;NA;55.54;8.89;35.57;451.667;403.667;5.32;1.313.333;4.6
MIT3;yes;MIT03;MIT;Mitaraka;Seasonally Flooded Forest;Seasonally Flooded Forest;DIADEMA;DIAMOND;yes;224.365;-5.446.413;341;no;yes;NA;59.66;2.547.333;1.486.667;483.667;1.222.333;16.39;1.349.333;1.773.333
MIT7;yes;MIT07;MIT;Mitaraka;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;223.362;-5.444.341;347;no;yes;NA;3.132.333;19.18;4.949.667;461.667;3.04;428.667;14.06;386.667
MIT8;yes;MIT08;MIT;Mitaraka;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;223.534;-5.444.457;347;no;yes;NA;4.193.667;900.333;4.905.667;449.333;234.333;307.333;13.13;406.667
MIT9;yes;MIT09;MIT;Mitaraka;Seasonally Flooded Forest;Seasonally Flooded Forest;DIADEMA;DIAMOND;yes;223.882;-5.444.872;347;no;yes;NA;3.471.333;18.54;46.75;5.12;3.7;4.27;1.147.667;1.406.667
MIT10;yes;MIT10;MIT;Mitaraka;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;221.627;-5.445.706;355;no;yes;NA;4.183.667;11.96;46.2;4.55;2.48;308.333;1.241.333;233.333
MIT11;yes;MIT11;MIT;Mitaraka;Terra Firme;Terra Firme;DIADEMA;DIAMOND;yes;222.814;-5.445.352;317;no;yes;NA;38.79;7.22;5.398.333;440.333;219.333;266.333;1.212.667;266.667
MIT12;yes;MIT12;MIT;Mitaraka;Seasonally Flooded Forest;Seasonally Flooded Forest;DIADEMA;DIAMOND;yes;223.365;-5.445.175;336;no;yes;NA;3.491.667;2.370.333;41.38;501.667;342.333;405.333;1.198.333;1.853.333
MornP1;ask;MornP1;MORN;Ferme Mornand;Pasture;Pasture;BING;BING;yes;502.839;-5.252.158;12;yes;yes;1;1.509;384.515;60.041;4.85;0.16295;169.138;1.037.956;103.366
MornP2;ask;MornP2;MORN;Ferme Mornand;Pasture;Pasture;BING;BING;yes;502.569;-5.252.683;11;yes;yes;1;1.383;348.495;63.771;4.89;0.16798;188.982;1.125.001;0.30266
MRA;yes;MRAF;MRA;Montravel;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;49.116;-5.225.897;NA;yes;yes;NA;29.125;26.975;43.9;6.555;33.275;41.25;1.247.985;0.01075
MTO;yes;MTO;MTO;Montagne Tortue;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;42.186;-5.241.163;NA;yes;yes;NA;41.375;22.55;36.075;52.825;4.92;78.525;1.591.596;0.00925
NOU31;yes;NOU31;NOU;Nouragues;Terra Firme;Terra Firme;NEBEDIV;OTHER;yes;408.304;-5.268.441;130;no;no;NA;43;5;52;NA;0.183;2.51;13.72;2.2
NOU32;yes;NOU32;NOU;Nouragues;Terra Firme;Terra Firme;NEBEDIV;OTHER;yes;408.327;-5.268.139;108;no;no;NA;45;4;51;NA;0.198;2.82;14.24;1.9
NOU33;yes;NOU33;NOU;Nouragues;Terra Firme;Terra Firme;NEBEDIV;OTHER;yes;408.792;-5.267.469;184;no;no;NA;68;14;18;NA;0.327;4.01;12.26;3.7
NOU34;yes;NOU34;NOU;Nouragues;Terra Firme;Terra Firme;NEBEDIV;OTHER;yes;408.445;-5.267.344;184;no;no;NA;69;13;18;NA;0.352;4.93;14.01;4.3
NOU35;yes;NOU35;NOU;Nouragues;Seasonally Flooded Forest;Seasonally Flooded Forest;NEBEDIV;OTHER;yes;408.746;-5.267.022;184;no;no;NA;15;27;58;NA;0.761;13.62;17.9;12.2
NOU36;yes;NOU36;NOU;Nouragues;Seasonally Flooded Forest;Seasonally Flooded Forest;NEBEDIV;OTHER;yes;409.141;-5.267.375;184;no;no;NA;24;18;58;NA;0.479;6.09;12.71;5.3
NOU37;yes;NOU37;NOU;Nouragues;Seasonally Flooded Forest;Seasonally Flooded Forest;NEBEDIV;OTHER;yes;407.686;-5.268.089;108;no;no;NA;17;36;47;NA;0.423;5.21;12.32;6.1
NOU38;yes;NOU38;NOU;Nouragues;White-Sand;White-Sand;NEBEDIV;OTHER;yes;409.664;-5.268.472;345;no;no;NA;18;4;78;NA;0.196;3.17;16.17;1.7
ORG0;yes;ORG0;ORG;Organabo;Terra Firme;Terra Firme;DIAMOND;DIAMOND;yes;547.375;-5.348.482;NA;yes;yes;NA;20.35;5.075;74.575;5.08;1.765;25.2;142.649;0.00675
ORG1;yes;ORG1;ORG;Organabo;Seasonally Flooded Forest;Seasonally Flooded Forest;DIAMOND;DIAMOND;yes;547.514;-5.348.829;NA;yes;yes;NA;7.75;4.625;87.625;51.575;16.475;26.575;1.606.839;0.016
PAR-A-BF;yes;PAR-A-BF;PAR;Paracou;Seasonally Flooded Forest;Seasonally Flooded Forest;DIADEMA;OTHER;yes;527.553;-5.292.916;31;no;yes;NA;0.577;33.517;65.906;5.69;0.1278;17.954;1.404.698;1.28
PAR-A-PL;yes;PAR-A-PL;PAR;Paracou;Terra Firme;Terra Firme;DIADEMA;OTHER;yes;527.203;-5.294.038;28;no;yes;NA;1.713;41.571;56.716;5.16;0.1485;1.839;1.238.477;5.56
PAR-A-PT;yes;PAR-A-PT;PAR;Paracou;Terra Firme;Terra Firme;DIADEMA;OTHER;yes;527.446;-5.293.158;30;no;yes;NA;2.18;41.994;55.826;4.97;0.1357;19.081;1.406.291;2.96
