"PermanentID","latitude","longitude","grupo_espacial","To_keep"
"GF01016995S",18.296329,-65.839069,234,"yes"
"GF01016994S",18.135879,-66.971133,235,"yes"
"GF01016993S",17.97467,-66.878436,236,"yes"
"GF01016992S",18.293129,-65.792442,237,"yes"
"GF01016991S",18.294128,-65.785082,238,"yes"
"GF01016990S",18.290552,-65.782132,239,"yes"
"GF01016989S",18.310345,-65.828255,240,"yes"
"GF01016988S",18.14844,-66.988986,241,"yes"
"GF01016987S",18.513611,-67.056878,242,"yes"
"GF01016986S",18.51239,-67.040742,243,"yes"
"GF01016985S",18.420966,-66.966498,244,"yes"
"GF01016984S",18.512065,-67.071898,245,"yes"
"GF01016983S",18.161489,-67.010787,246,"yes"
"GF01016982S",17.951948,-67.126791,247,"yes"
"GF01016981S",18.411682,-66.966284,248,"yes"
"GF01016980S",18.404516,-66.967743,249,"yes"
"GF01014841S",21.21018,-87.19355,251,"yes"
"GF01014840S",-4.133,-69.91,252,"yes"
"GF01014831S",-42.78133,-71.47167,253,"yes"
"GF01014813S",-54.47952,-67.44773,254,"yes"
"GF01014810S",-0.3738,-72.231,255,"yes"
"GF01014808S",-0.395,-72.08,256,"yes"
"GF01014807S",-44.83255,-71.7265,257,"yes"
"GF01014796S",5.435667,-60.08825,258,"yes"
"GF01014792S",-41.2506,-71.2801,259,"yes"
"GF01014789S",-40.1179,-71.4436,260,"yes"
"GF01014787S",-40.1269,-71.6797,262,"yes"
"GF01014786S",8.34,-82.2394,263,"yes"
"GF01014779S",-0.3806,-72.236,264,"yes"
"GF01014774S",18.32096,-65.81974,265,"yes"
"GF01014765S",-40.1411,-71.4692,266,"yes"
"GF01014764S",5.279528,-59.915861,267,"yes"
"GF01014751S",-41.2311,-71.7811,268,"yes"
"GF01014746S",8.75703,-82.24106,269,"yes"
"GF01014732S",6.33,-75.4917,271,"yes"
"GF01014731S",6.17,-75.4717,272,"yes"
"GF01014730S",6.705,-75.4667,273,"yes"
"GF01014727S",-40.13,-71.6608,274,"yes"
"GF01014722S",4.867,-75.167,275,"yes"
"GF01014706S",-4,-69.883,276,"yes"
"GF01014703S",-54.48728,-67.44128,277,"yes"
"GF01014696S",26.940139,-81.3375,278,"yes"
"GF01014695S",29.73517,-82.44186,279,"yes"
"GF01014680S",-0.55,-71.36,280,"yes"
"GF01014676S",19.1697,-97.30001,281,"yes"
"GF01014665S",-3.9997,-69.8947,282,"yes"
"GF01014664S",-41.146,-71.3718,283,"yes"
"GF01014641S",-41.0832,-71.5514,284,"yes"
"GF01014640S",-0.3466,-72.059,285,"yes"
"GF01014636S",-4.0083,-69.8964,286,"yes"
"GF01014627S",-0.3837,-72.2324,287,"yes"
"GF01014621S",-54.48108,-67.44908,288,"yes"
"GF01014619S",-4.0086,-69.8975,289,"yes"
"GF01014604S",-41.3476,-71.5818,290,"yes"
"GF01014603S",5.296917,-59.910361,291,"yes"
"GF01014602S",4.867,-75.133,292,"yes"
"GF01014596S",5.433972,-60.084167,293,"yes"
"GF01014588S",8.7611,-82.2177,294,"yes"
"GF01014587S",-4.0086,-69.8984,295,"yes"
"GF01014585S",18.3167,-65.8167,296,"yes"
"GF01014582S",-41.4315,-71.611,297,"yes"
"GF01014581S",-54.46653,-67.51814,298,"yes"
"GF01014577S",-0.3629,-72.2417,299,"yes"
"GF01014575S",8.68,-82.4336,300,"yes"
"GF01014572S",-40.132,-71.65906,301,"yes"
"GF01014569S",-3.598,-69.53,302,"yes"
"GF01014568S",8.74,-82.26828,303,"yes"
"GF01014558S",-4.0175,-69.8983,304,"yes"
"GF01014557S",-4.028,-72.54,305,"yes"
"GF01014556S",18.32482,-65.73021,306,"yes"
"GF01014554S",29.74983,-82.21786,307,"yes"
"GF01014552S",-44.07439,-73.096796,308,"yes"
"GF01014547S",-40.1306,-71.4595,309,"yes"
"GF01014545S",4.867,-75.25,310,"yes"
"GF01014541S",22.1989,-102.60055,311,"yes"
"GF01014539S",-42.779,-71.464,312,"yes"
"GF01014528S",-4.0125,-69.8972,313,"yes"
"GF01014522S",5.439917,-60.079306,314,"yes"
"GF01014516S",-4.025,-69.54,315,"yes"
"GF01014506S",-41.1976,-71.8228,316,"yes"
