plot_id,alternative_plot_id,site_id,site_name,habitat,habitat_simple,project,seq_run,fg_soil_project,latitude,longitude,altitude,eDNA_sequence_data_available,phys_chem_data_available,phys_chem_patches_analyzed,clay,silt,sand,pH,TN,OC,CN,AP
CSG5,CSG65,CSG,Centre Spatial Guyanais,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,DIAMOND,yes,5.218,-52.83893,43,no,yes,NA,23.63333,10.16667,66.2,5.13333,0.114,1.54333,13.46333,11.24
CSG6,CSG66,CSG,Centre Spatial Guyanais,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,5.21223,-52.83491,43,no,yes,NA,18,4.93333,77.06667,4.93333,0.09633,1.21333,12.56333,15.9
CSG7,CSG67,CSG,Centre Spatial Guyanais,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,5.22198,-52.8549,53,no,yes,NA,1.393,34.402,64.205,4.64,0.1208,1.753,14.51159,0.86
CSG8,CSG68,CSG,Centre Spatial Guyanais,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,DIAMOND,yes,5.22221,-52.84672,46,no,yes,NA,1.543,34.232,64.225,4.51,0.2384,3.9557,16.5927,4.62
FRG,FRG,FRG,Regina ONF,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,4.31339,-52.23599,,yes,yes,1,16.375,16.175,67.45,5.1825,2.0875,35.8,17.3106606,0.00675
GALP1,GALP1,GAL,Galbao,Terra Firme,Terra Firme,DIAMOND,GALBAO,yes,3.59978,-53.2701,500,yes,yes,NA,9.89063,54.1525,35.95888,4.475,0.47014,4.59897,9.769,0.29154
GALP2,GALP2,GAL,Galbao,Terra Firme,Terra Firme,DIAMOND,GALBAO,yes,3.60077,-53.26683,465,yes,yes,NA,17.50925,58.0295,24.46375,4.3775,0.39178,4.59951,11.70532,0.3771
GALP3,GALP3,GAL,Galbao,Terra Firme,Terra Firme,DIAMOND,GALBAO,yes,3.60422,-53.2674,525,yes,yes,NA,14.23154,69.43083,16.33967,4.3975,0.29374,3.50921,11.94584,0.28633
GALP4,GALP4,GAL,Galbao,Cloud Forest,Cloud Forest,DIAMOND,GALBAO,yes,3.58857,-53.28298,721,yes,yes,NA,1.56338,30.01238,68.42692,4.255,1.6276,20.43681,12.6851,2.407
GALP5,GALP5,GAL,Galbao,Cloud Forest,Cloud Forest,DIAMOND,GALBAO,yes,3.6036,-53.28068,688,yes,yes,NA,8.59896,54.70054,36.70321,3.9825,0.70629,9.26288,13.10076,0.35062
GALP6,GALP6,GAL,Galbao,Cloud Forest,Cloud Forest,DIAMOND,GALBAO,yes,3.59633,-53.27725,725,yes,yes,NA,5.86238,63.93313,30.20638,4.09,0.59707,7.021,11.75305,1.07375
GALP7,GALP7,GAL,Galbao,Seasonally Flooded Forest,Seasonally Flooded Forest,DIAMOND,GALBAO,yes,3.60722,-53.28757,552,yes,yes,NA,9.70808,56.67138,33.62304,4.235,0.61547,8.83173,14.41,0.77588
GALP8,GALP8,GAL,Galbao,Seasonally Flooded Forest,Seasonally Flooded Forest,DIAMOND,GALBAO,yes,3.60167,-53.27483,580,yes,yes,NA,11.41963,54.02121,34.56217,3.88,0.57242,7.73524,13.51579,0.88705
GM1,GM1,GM,Grand Macoua,Savanna,Savanna,BING,BING,yes,5.54232,-53.41758,2,yes,yes,1,9.195,65.909,24.8975,4.74,0.36605,4.79015,13.08605,0.20482
GM2,GM2,GM,Grand Macoua,Savanna,Savanna,BING,BING,yes,5.53981,-53.41362,2,yes,yes,1,8.388,65.405,26.2135,4.89,0.19219,2.41432,12.56232,0.17403
GR,GR,GR,Garre-Rocheau,Savanna,Savanna,BING,BING,yes,5.37966,-53.05548,8.73107,yes,yes,1,1.1895,39.729,59.0865,4.57,0.11488,1.4227,12.38407,0.07025
GRS1,A_BF,GRS,Gros-Saut,Seasonally Flooded Forest,Seasonally Flooded Forest,BING,BUG,yes,4.177203001,-54.00243499,81,yes,yes,4,2.498125,47.55625,49.864125,5.05,0.394100335,6.891770781,18.14749598,8.128
GRS2,A_TF,GRS,Gros-Saut,Terra Firme,Terra Firme,BING,BUG,yes,4.169684015,-54.00025201,115,yes,yes,4,14.97125,62.689875,22.341375,4.2675,0.189168152,3.532351494,18.62045417,5.366
GRS3,B_BF,GRS,Gros-Saut,Seasonally Flooded Forest,Seasonally Flooded Forest,BING,BUG,yes,4.163186029,-53.98172004,81,yes,yes,4,1.843625,45.8555,52.3045,4.18,0.113720356,2.244932532,19.79479906,3.354
GRS4,B_TF,GRS,Gros-Saut,Terra Firme,Terra Firme,BING,BUG,yes,4.164016005,-53.99416298,140,yes,yes,4,9.2215,56.164375,34.617,4.165,0.149833748,2.99516964,20.03928504,2.434
GRS5,C_BF,GRS,Gros-Saut,Seasonally Flooded Forest,Seasonally Flooded Forest,BING,BUG,yes,4.162202999,-54.00401599,93,yes,yes,4,5.8155,65.456375,28.73075,4.185,0.229822897,4.158356488,18.06600051,4.084
GRS6,C_TF,GRS,Gros-Saut,Terra Firme,Terra Firme,BING,BUG,yes,4.157904005,-54.00878898,143,yes,yes,4,17.861875,55.628375,26.512875,3.9925,0.174907737,3.36582619,19.33830338,1.456
GRS7,D_BF,GRS,Gros-Saut,Seasonally Flooded Forest,Seasonally Flooded Forest,BING,BUG,yes,4.163969988,-54.01548604,96,yes,yes,4,9.0425,63.466125,27.49375,4.5725,0.193139825,3.177661896,16.55384555,4.504
GRS8,D_TF,GRS,Gros-Saut,Terra Firme,Terra Firme,BING,BUG,yes,4.163965965,-54.00883701,141,yes,yes,4,11.594875,54.716125,33.219625,4.0425,0.174568314,3.423711598,19.5176849,1.714
GUY,GUY,GUY,Guyakaw,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,4.56847,-52.17876,NA,yes,yes,1,47.05,26.65,26.3,5.37,8.28,131.75,15.84655771,0.0125
IT01,IT01,IT,Itoupe,Cloud Forest,Cloud Forest,DIADEMA,DIAMOND,yes,3.02668,-53.07673,762,no,yes,NA,44.75667,32.77,22.47333,4.53667,3.65667,4.73667,12.95667,2.26667
IT02,IT02,IT,Itoupe,Cloud Forest,Cloud Forest,DIADEMA,DIAMOND,yes,3.02236,-53.08378,819,no,yes,NA,40.80667,29.77333,29.42,4.60333,4.15,5.42333,13.07333,2.53333
IT03,IT03,IT,Itoupe,Cloud Forest,Cloud Forest,DIADEMA,DIAMOND,yes,3.01576,-53.08743,750,no,yes,NA,62.44,8.99667,28.56333,4.74,2.76667,3.55333,12.87,1.73333
IT04,IT04,IT,Itoupe,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,3.03294,-53.09624,577,no,yes,NA,78.25,8.36,13.38667,4.54333,2.66,3.24333,12.24,1.26667
IT05,IT05,IT,Itoupe,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,3.0226,-53.09705,596,no,yes,NA,74.91333,9.30333,15.78667,4.73,2.72,3.29333,12.13,1.2
IT06,IT06,IT,Itoupe,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,3.01262,-53.09963,631,no,yes,NA,79.20333,11.82333,8.97667,4.61333,2.68667,3.37333,12.61,1.53333
IT07,IT07,IT,Itoupe,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,3.03409,-53.10521,521,no,yes,NA,86.85333,6.44333,6.70333,4.47333,2.24,2.70667,12.11,1.8
IT08,IT08,IT,Itoupe,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,3.02197,-53.10632,529,no,yes,NA,14.95667,48.43667,36.61,6.22333,2.43,2.22333,9.17667,2
IT09,IT09,IT,Itoupe,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,3.01717,-53.10754,529,no,yes,NA,83.21333,8.63333,8.16333,5.66,3.05667,2.98,9.77,1.8
KAR1,K1,KAR,Karouabo,Savanna,Savanna,BING,BING,yes,5.23437,-52.80878,8,yes,yes,1,1.112,26.057,72.831,5.11,0.0687,1.0041,14.6185,0.3
KAR2,K2,KAR,Karouabo,Savanna,Savanna,BING,BING,yes,5.23705,-52.80337,8,yes,yes,1,13.528,75.881,10.591,4.86,0.1669,2.2808,13.66675,0.64
KAPTF,KAP,KAP,Saut-Lavilette,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,4.15005,-52.20235,NA,yes,yes,NA,65.225,5.875,28.9,5.0975,2.9575,44.425,14.99358,0.00575
KAPBF,KAPBF,KAP,Saut-Lavilette,Seasonally Flooded Forest,Seasonally Flooded Forest,DIAMOND,DIAMOND,yes,4.15339,-52.20204,NA,yes,yes,NA,11.2,5.6,83.2,4.7325,2.39,40.925,17.13929,0.027
KAW70-C,KAW70-C,KAW,Kaw,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,4.55718,-52.20976,282,no,yes,NA,32.63333,28.86667,38.5,5.33333,0.29667,3.46,11.63333,19.46667
KAW71-G,KAW71-G,KAW,Kaw,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,4.5681,-52.17843,254,no,yes,NA,28.4,41.76667,29.83333,5.3,0.32667,3.76,11.49,29.2
KAW72-T,KAW72-T,KAW,Kaw,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,4.60819,-52.28029,221,no,yes,NA,51.06667,34.16667,14.76667,5.26667,0.23767,1.73933,12.30333,45.7
KOT1,KOT1,KOT,Montagne Kotika,Cloud Forest,Cloud Forest,PAG,KOTIKA,yes,3.942947,-54.184046,729,yes,yes,2,2.85275,20.92175,68.395,3.78,1.57445,23.8167,15.43745,23.396
KOT10,KOT10,KOT,Montagne Kotika,Swamp,Seasonally Flooded Forest,PAG,KOTIKA,yes,3.95488098,-54.183623,572,yes,yes,2,2.74975,19.90675,71.46275,4.61,2.4035,34.0047,14.16575,109.66
KOT2,KOT2,KOT,Montagne Kotika,Cloud Forest,Cloud Forest,PAG,KOTIKA,yes,3.93937597,-54.185562,742,yes,yes,2,3.1765,39.37375,56.8075,4.135,1.19975,17.53835,14.6144,19.652
KOT3,KOT3,KOT,Montagne Kotika,Cloud Forest,Cloud Forest,PAG,KOTIKA,yes,3.93311301,-54.186308,739,yes,yes,2,3.011,37.7765,59.2145,4.125,1.25815,17.8964,14.2207,15.544
KOT4,KOT4,KOT,Montagne Kotika,Terrafirme,Terra Firme,PAG,KOTIKA,yes,3.93350001,-54.195162,568,yes,yes,2,24.63125,68.81125,6.561,3.95,0.4472,7.3925,16.561,2.58
KOT5,KOT5,KOT,Montagne Kotika,Terrafirme,Terra Firme,PAG,KOTIKA,yes,3.93137201,-54.193714,616,yes,yes,2,32.339,57.4885,10.176,4.11,0.43045,6.2719,14.49615,1.98
KOT6,KOT6,KOT,Montagne Kotika,Terrafirme,Terra Firme,PAG,KOTIKA,yes,3.93704203,-54.191489,639,yes,yes,2,6.94875,60.0865,32.8805,4.92,0.5429,6.77935,12.47455,4.724
KOT7,KOT7,KOT,Montagne Kotika,Terrafirme,Terra Firme,PAG,KOTIKA,yes,3.93064496,-54.201527,482,yes,yes,2,24.5295,68.9995,6.47325,4.57,0.36875,4.3435,11.76735,3.148
KOT8,KOT8,KOT,Montagne Kotika,Terrafirme,Terra Firme,PAG,KOTIKA,yes,3.93036702,-54.19731,539,yes,yes,2,23.575,62.503,13.926,3.995,0.56595,8.1695,14.4274,3.852
KOT9,KOT9,KOT,Montagne Kotika,Terrafirme,Terra Firme,PAG,KOTIKA,yes,3.93586999,-54.197834,547,yes,yes,2,21.804,70.6775,7.5205,3.995,0.42565,5.91375,13.87925,2.32
LAU1,LAU01,LAU,Laussat,White-Sand,White-Sand,DIADEMA,DIAMOND,yes,5.47854,-53.59726,54,no,yes,NA,0.432,1.034,98.536,NA,0.692,1.342,1.94,2.174
LAU2,LAU02,LAU,Laussat,White-Sand,White-Sand,DIADEMA,DIAMOND,yes,5.48423,-53.59635,54,no,yes,NA,1,1,98,NA,0.023,0.51,22.17,1.6
LAU21,LAU21,LAU,Laussat,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,5.46518,-53.58719,49,no,yes,NA,20,2,78,NA,0.118,1.71,14.49,1.9
LAU3,LAU03,LAU,Laussat,White-Sand,White-Sand,DIADEMA,DIAMOND,yes,5.47518,-53.58684,55,yes,yes,NA,1,1,99,NA,0.071,1.43,20.14,1
LAU4,LAU04,LAU,Laussat,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,5.48177,-53.57595,57,no,yes,NA,23,2,75,NA,0.083,1.26,15.18,2.8
LAU5,LAU05,LAU,Laussat,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,5.48516,-53.59144,54,no,yes,NA,21,1,78,NA,0.097,1.44,14.85,3.2
LAU6,LAU06,LAU,Laussat,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,5.46854,-53.58046,54,yes,yes,NA,17,1,82,NA,0.123,1.81,14.72,2.2
LAU7,LAU07,LAU,Laussat,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,DIAMOND,yes,5.47096,-53.57872,54,yes,yes,NA,3,1,96,NA,0.206,4,19.42,5.9
LAU8,LAU08,LAU,Laussat,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,DIAMOND,yes,5.47188,-53.59334,52,no,yes,NA,3,2,95,NA,0.099,2.2,22.22,1.3
LAU9,LAU09,LAU,Laussat,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,DIAMOND,yes,5.46339,-53.57997,50,no,yes,NA,7,6,87,NA,0.132,2.19,16.59,3.9
MAIBF,MAIBF,MAI,Maipouri,Seasonally Flooded Forest,Seasonally Flooded Forest,DIAMOND,DIAMOND,yes,5.14351,-53.99622,125,yes,yes,NA,47.7,17.25,35.05,4.6375,6.185,96.075,15.48771,0.01575
MAITF,MAIT,MAI,Maipouri,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,5.14326,-53.99739,131,yes,yes,NA,51.275,16.95,31.775,4.97,5.76,98.975,17.14759,0.00875
MAT1,MAT1,MAT,Matiti,Savanna,Savanna,BING,BING,yes,5.06364,-52.60409,3,yes,yes,1,2.85,41.084,56.056,4.87,0.06291,0.87747,13.9486,1.12
MIT1,MIT01,MIT,Mitaraka,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,2.24361,-54.45882,341,no,yes,NA,42.24333,9.96333,47.79,4.54667,1.92,2.58667,13.41333,2.26667
MIT2,MIT02,MIT,Mitaraka,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,2.23857,-54.45259,336,no,yes,NA,55.54,8.89,35.57,4.51667,4.03667,5.32,13.13333,4.6
MIT3,MIT03,MIT,Mitaraka,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,DIAMOND,yes,2.24365,-54.46413,341,no,yes,NA,59.66,25.47333,14.86667,4.83667,12.22333,16.39,13.49333,17.73333
MIT7,MIT07,MIT,Mitaraka,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,2.23362,-54.44341,347,no,yes,NA,31.32333,19.18,49.49667,4.61667,3.04,4.28667,14.06,3.86667
MIT8,MIT08,MIT,Mitaraka,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,2.23534,-54.44457,347,no,yes,NA,41.93667,9.00333,49.05667,4.49333,2.34333,3.07333,13.13,4.06667
MIT9,MIT09,MIT,Mitaraka,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,DIAMOND,yes,2.23882,-54.44872,347,no,yes,NA,34.71333,18.54,46.75,5.12,3.7,4.27,11.47667,14.06667
MIT10,MIT10,MIT,Mitaraka,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,2.21627,-54.45706,355,no,yes,NA,41.83667,11.96,46.2,4.55,2.48,3.08333,12.41333,2.33333
MIT11,MIT11,MIT,Mitaraka,Terra Firme,Terra Firme,DIADEMA,DIAMOND,yes,2.22814,-54.45352,317,no,yes,NA,38.79,7.22,53.98333,4.40333,2.19333,2.66333,12.12667,2.66667
MIT12,MIT12,MIT,Mitaraka,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,DIAMOND,yes,2.23365,-54.45175,336,no,yes,NA,34.91667,23.70333,41.38,5.01667,3.42333,4.05333,11.98333,18.53333
MornP1,MornP1,MORN,Ferme Mornand,Pasture,Pasture,BING,BING,yes,5.02839,-52.52158,12,yes,yes,1,1.509,38.4515,60.041,4.85,0.16295,1.69138,10.37956,1.03366
MornP2,MornP2,MORN,Ferme Mornand,Pasture,Pasture,BING,BING,yes,5.02569,-52.52683,11,yes,yes,1,1.383,34.8495,63.771,4.89,0.16798,1.88982,11.25001,0.30266
MRA,MRAF,MRA,Montravel,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,4.9116,-52.25897,NA,yes,yes,NA,29.125,26.975,43.9,6.555,3.3275,41.25,12.47985,0.01075
MTO,MTO,MTO,Montagne Tortue,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,4.2186,-52.41163,NA,yes,yes,NA,41.375,22.55,36.075,5.2825,4.92,78.525,15.91596,0.00925
NOU31,NOU31,NOU,Nouragues,Terra Firme,Terra Firme,NEBEDIV,OTHER,yes,4.08304,-52.68441,130,no,no,NA,43,5,52,NA,0.183,2.51,13.72,2.2
NOU32,NOU32,NOU,Nouragues,Terra Firme,Terra Firme,NEBEDIV,OTHER,yes,4.08327,-52.68139,108,no,no,NA,45,4,51,NA,0.198,2.82,14.24,1.9
NOU33,NOU33,NOU,Nouragues,Terra Firme,Terra Firme,NEBEDIV,OTHER,yes,4.08792,-52.67469,184,no,no,NA,68,14,18,NA,0.327,4.01,12.26,3.7
NOU34,NOU34,NOU,Nouragues,Terra Firme,Terra Firme,NEBEDIV,OTHER,yes,4.08445,-52.67344,184,no,no,NA,69,13,18,NA,0.352,4.93,14.01,4.3
NOU35,NOU35,NOU,Nouragues,Seasonally Flooded Forest,Seasonally Flooded Forest,NEBEDIV,OTHER,yes,4.08746,-52.67022,184,no,no,NA,15,27,58,NA,0.761,13.62,17.9,12.2
NOU36,NOU36,NOU,Nouragues,Seasonally Flooded Forest,Seasonally Flooded Forest,NEBEDIV,OTHER,yes,4.09141,-52.67375,184,no,no,NA,24,18,58,NA,0.479,6.09,12.71,5.3
NOU37,NOU37,NOU,Nouragues,Seasonally Flooded Forest,Seasonally Flooded Forest,NEBEDIV,OTHER,yes,4.07686,-52.68089,108,no,no,NA,17,36,47,NA,0.423,5.21,12.32,6.1
NOU38,NOU38,NOU,Nouragues,White-Sand,White-Sand,NEBEDIV,OTHER,yes,4.09664,-52.68472,345,no,no,NA,18,4,78,NA,0.196,3.17,16.17,1.7
ORG0,ORG0,ORG,Organabo,Terra Firme,Terra Firme,DIAMOND,DIAMOND,yes,5.47375,-53.48482,NA,yes,yes,NA,20.35,5.075,74.575,5.08,1.765,25.2,14.2649,0.00675
ORG1,ORG1,ORG,Organabo,Seasonally Flooded Forest,Seasonally Flooded Forest,DIAMOND,DIAMOND,yes,5.47514,-53.48829,NA,yes,yes,NA,7.75,4.625,87.625,5.1575,1.6475,26.575,16.06839,0.016
PAR-A-BF,PAR-A-BF,PAR,Paracou,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,OTHER,yes,5.27553,-52.92916,31,no,yes,NA,0.577,33.517,65.906,5.69,0.1278,1.7954,14.04698,1.28
PAR-A-PL,PAR-A-PL,PAR,Paracou,Terra Firme,Terra Firme,DIADEMA,OTHER,yes,5.27203,-52.94038,28,no,yes,NA,1.713,41.571,56.716,5.16,0.1485,1.839,12.38477,5.56
PAR-A-PT,PAR-A-PT,PAR,Paracou,Terra Firme,Terra Firme,DIADEMA,OTHER,yes,5.27446,-52.93158,30,no,yes,NA,2.18,41.994,55.826,4.97,0.1357,1.9081,14.06291,2.96
PAR-B-BF,PAR-B-BF,PAR,Paracou,Seasonally Flooded Forest,Seasonally Flooded Forest,DIADEMA,OTHER,yes,5.25239,-52.92631,26,no,yes,NA,1.418,51.13,47.452,4.48,0.2282,3.1741,13.90677,3.72
PAR-B-PL,PAR-B-PL,PAR,Paracou,Terra Firme,Terra Firme,DIADEMA,OTHER,yes,5.25683,-52.92142,47,no,yes,NA,4.173,46.689,49.138,4.48,0.1453,2.261,15.55707,3.9
PAR-B-PT,PAR-B-PT,PAR,Paracou,Terra Firme,Terra Firme,DIADEMA,OTHER,yes,5.25973,-52.91828,31,no,yes,NA,2.35,53.762,43.888,4.29,0.1979,3.2798,16.57357,3.62
PAT,PAT,PAT,Patagaie,White-Sand,White-Sand,DIAMOND,DIAMOND,yes,5.40991,-53.1783,43,yes,yes,NA,3.65,1.925,94.425,5.105,2.0375,43.2,20.8426,0.02775
PE1,PE01,PE,Peru,White-Sand,White-Sand,NEBEDIV,OTHER,no,-3.97521,-73.42588,149,no,yes,NA,3,4,93,NA,0.06,1.03,17.17,2.4
