"","new.ID","Codigo.SPUN","Lista","occurrenceID","basisOfRecord","type","institutionCode","institutionID","collectionCode","collectionID","datasetName","language","recordNumber","recordedBy","sex","lifeStage","preparations","disposition","samplingProtocol","eventDate","continent","country","countryCode","stateProvince","county","municipality","locality","Observaciones.de.la.localidad","Procesamiento.muestra","minimumElevationInMeters","maximumElevationInMeters","decimalLatitude","decimalLongitude","geodeticDatum","scientificName","kingdom","Soil.type","Type.of.forests","EcM.forests"
"11","NEF_spun_Riz11_2025","Col11","Aida","Udea:Riz11","MaterialSample","PhysicalObject","Universidad de Antioquia","890980040-8",NA,NA,"Estudio de hongos de rizosfera","es","Riz11","Aida Marcela Vasco Palacios",NA,NA,NA,NA,"random sampling","22/06/2023","America del Sur","Colombia","CO","Amazonas","Leticia","Leticia","Bosque inundable",NA,"si",53,183,"-4,103","-69,975","WGS84","Fungi","Fungi","clavey","flooding","No"
"12","NEF_spun_Riz12_2025","Col12","Aida","Udea:Riz12","MaterialSample","PhysicalObject","Universidad de Antioquia","890980040-8",NA,NA,"Estudio de hongos de rizosfera","es","Riz12","Aida Marcela Vasco Palacios",NA,NA,NA,NA,"random sampling","22/06/2023","America del Sur","Colombia","CO","Amazonas","Leticia","Araracuara","White sand forests",NA,"si",53,183,"-4,103","-69,975","WGS84","Fungi","Fungi","sandy","terra firme","Yes"
"13","NEF_spun_Riz13_2025","Col13","Aida","Udea:Riz13","MaterialSample","PhysicalObject","Universidad de Antioquia","890980040-8",NA,NA,"Estudio de hongos de rizosfera","es","Riz13","Aida Marcela Vasco Palacios",NA,NA,NA,NA,"random sampling","22/08/2023","America del Sur","Colombia","CO","Amazonas","Leticia","Pista Araracuara","White sand forests",NA,"si",100,300,"-4,182","-69,936","WGS84","Fungi","Fungi","sandy","terra firme","Yes"
"14","NEF_spun_Riz14_2025","Col14","Aida","Udea:Riz14","MaterialSample","PhysicalObject","Universidad de Antioquia","890980040-8",NA,NA,"Estudio de hongos de rizosfera","es","Riz14","Aida Marcela Vasco Palacios",NA,NA,NA,NA,"random sampling","22/08/2023","America del Sur","Colombia","CO","Amazonas","Leticia","Villa Azul","Terra Firme forests P. tropenbosii",NA,"si",100,300,"-4,182","-69,936","WGS84","Fungi","Fungi","clavey","terra firme","Yes"
"15","NEF_spun_Riz15_2025","Col15","Aida","Udea:Riz15","MaterialSample","PhysicalObject","Universidad de Antioquia","890980040-8",NA,NA,"Estudio de hongos de rizosfera","es","Riz15","Aida Marcela Vasco Palacios",NA,NA,NA,NA,"random sampling","22/04/2024","America del Sur","Colombia","CO","Amazonas","Leticia","Araracuara","Flooding forests",NA,"si",100,300,"-4,182","-69,936","WGS84","Fungi","Fungi","clavey","flooding","No"
"16","NEF_spun_Riz16_2025","Col16","Aida","Udea:Riz16","MaterialSample","PhysicalObject","Universidad de Antioquia","890980040-8",NA,NA,"Estudio de hongos de rizosfera","es","Riz16","Aida Marcela Vasco Palacios",NA,NA,NA,NA,"random sampling","09/05/2024","America del Sur","Colombia","CO","Putumayo","Mocoa","Puerto Asis","Inundable ",NA,"SI",250,250,"0,589","-76,582","WGS84","Fungi","Fungi","clavey","flooding","No"
"17","NEF_spun_Riz17_2025","Col17","Aida","Udea:Riz17","MaterialSample","PhysicalObject","Universidad de Antioquia","890980040-8",NA,NA,"Estudio de hongos de rizosfera","es","Riz17","Aida Marcela Vasco Palacios",NA,NA,NA,NA,"random sampling","07/05/2024","America del Sur","Colombia","CO","Putumayo","Mocoa","Mocoa","Tierra Firme",NA,"SI",600,650,"1,103","-76,615","WGS84","Fungi","Fungi","clavey","terra firme","Maybe"
"18","NEF_spun_Riz18_2025","Col18","Aida","Udea:Riz18","MaterialSample","PhysicalObject","Universidad de Antioquia","890980040-8",NA,NA,"Estudio de hongos de rizosfera","es","Riz18","Aida Marcela Vasco Palacios",NA,NA,NA,NA,"random sampling","09/05/2024","America del Sur","Colombia","CO","Putumayo","Mocoa","Mocoa","Tierra Firme",NA,"SI",600,650,"1,101","-76,625","WGS84","Fungi","Fungi","clavey","terra firme","Non"
"19","NEF_spun_Riz19_2025","Col19","Aida","Udea:Riz19","MaterialSample","PhysicalObject","Universidad de Antioquia","890980040-8",NA,NA,"Estudio de hongos de rizosfera","es","Riz19","Aida Marcela Vasco Palacios",NA,NA,NA,NA,"random sampling","08/05/2024","America del Sur","Colombia","CO","Putumayo","Mocoa","Mocoa","Canaguchal",NA,"SI",450,480,"0,949","-76,613","WGS84","Fungi","Fungi","clavey","flooding","No"
"20","NEF_spun_Riz20_2025","Col20","Aida","Udea:Riz20","MaterialSample","PhysicalObject","Universidad de Antioquia","890980040-8",NA,NA,"Estudio de hongos de rizosfera","es","Riz20","Aida Marcela Vasco Palacios",NA,NA,NA,NA,"random sampling","10/05/2024","America del Sur","Colombia","CO","Putumayo","Mocoa","Mocoa","Cañon del Mandiyaco",NA,"SI",650,700,"1,274","-76,572","WGS84","Fungi","Fungi","sandy and rock","terra firme","Non"
