"","new.ID","PermanentID","sequencing_platform","NEF.dataset"
"1492","NEF_GloFung-its1_563_2021","GF04004525S","Illumina","ITS1"
"1493","NEF_GloFung-its1_568_2021","GF04004524S","Illumina","ITS1"
"1494","NEF_GloFung-its1_576_2021","GF04004523S","Illumina","ITS1"
"1495","NEF_GloFung-its1_568_2021","GF04004522S","Illumina","ITS1"
"1496","NEF_GloFung-its1_568_2021","GF04004521S","Illumina","ITS1"
"1497","NEF_GloFung-its1_568_2021","GF04004520S","Illumina","ITS1"
"1498","NEF_GloFung-its1_579_2021","GF04004519S","Illumina","ITS1"
"1499","NEF_GloFung-its1_567_2021","GF04004518S","Illumina","ITS1"
"1500","NEF_GloFung-its1_565_2021","GF04004517S","Illumina","ITS1"
"1501","NEF_GloFung-its1_567_2021","GF04004516S","Illumina","ITS1"
"1502","NEF_GloFung-its1_563_2021","GF04004515S","Illumina","ITS1"
"1503","NEF_GloFung-its1_569_2021","GF04004514S","Illumina","ITS1"
"1504","NEF_GloFung-its1_568_2021","GF04004513S","Illumina","ITS1"
"1505","NEF_GloFung-its1_569_2021","GF04004512S","Illumina","ITS1"
"1506","NEF_GloFung-its1_584_2021","GF04004511S","Illumina","ITS1"
"1507","NEF_GloFung-its1_563_2021","GF04004510S","Illumina","ITS1"
"1508","NEF_GloFung-its1_570_2021","GF04004509S","Illumina","ITS1"
"1509","NEF_GloFung-its1_569_2021","GF04004508S","Illumina","ITS1"
"1510","NEF_GloFung-its1_567_2021","GF04004507S","Illumina","ITS1"
"1511","NEF_GloFung-its1_585_2021","GF04004506S","Illumina","ITS1"
"1512","NEF_GloFung-its1_584_2021","GF04004505S","Illumina","ITS1"
"1513","NEF_GloFung-its1_564_2021","GF04004504S","Illumina","ITS1"
"1514","NEF_GloFung-its1_566_2021","GF04004503S","Illumina","ITS1"
"1515","NEF_GloFung-its1_564_2021","GF04004502S","Illumina","ITS1"
"1516","NEF_GloFung-its1_573_2021","GF04004501S","Illumina","ITS1"
"1517","NEF_GloFung-its1_581_2021","GF04004500S","Illumina","ITS1"
