PermanentID,Longitude,Latitude,continent,country
GF05029994S,-64.160749,-31.533948,South America,Argentina
GF05029993S,-64.152735,-31.529431,South America,Argentina
GF05029992S,-64.06387,-31.367,South America,Argentina
GF05029991S,-64.0559,-31.374171,South America,Argentina
GF05029990S,-64.155119,-31.328709,South America,Argentina
GF05029989S,-64.153566,-31.329095,South America,Argentina
GF05029988S,-64.13192,-31.299382,South America,Argentina
GF05029987S,-64.128485,-31.303213,South America,Argentina
GF05029986S,-64.16955,-31.307127,South America,Argentina
GF05029985S,-64.168499,-31.308151,South America,Argentina
GF05028240S,-71.65,-37.08,South America,Chile
GF05028239S,-71.65,-37.08,South America,Chile
GF05028238S,-71.65,-37.08,South America,Chile
GF05028237S,-71.644,-37.076,South America,Chile
GF05028236S,-71.644,-37.076,South America,Chile
GF05028235S,-71.644,-37.076,South America,Chile
GF05028234S,-71.64,-37.07,South America,Chile
GF05028233S,-71.64,-37.07,South America,Chile
GF05028232S,-71.64,-37.07,South America,Chile
GF05028231S,-71.64,-37.06,South America,Chile
GF05028230S,-71.64,-37.06,South America,Chile
GF05028229S,-71.64,-37.06,South America,Chile
GF05028214S,-79.08202859,-3.98242197,South America,Ecuador
GF05028213S,-79.08206453,-3.98239482,South America,Ecuador
GF05028212S,-79.08209122,-3.98239488,South America,Ecuador
GF05028211S,-79.08201028,-3.98239483,South America,Ecuador
GF05028210S,-79.08201932,-3.98245812,South America,Ecuador
GF05028209S,-79.08201923,-3.9824943,South America,Ecuador
GF05028208S,-79.08248771,-3.98227851,South America,Ecuador
GF05028207S,-79.08251484,-3.98227828,South America,Ecuador
GF05028206S,-79.0825599,-3.98227853,South America,Ecuador
GF05028205S,-79.08251498,-3.9822153,South America,Ecuador
GF05028204S,-79.0825149,-3.98225119,South America,Ecuador
GF05028203S,-79.08251494,-3.98229644,South America,Ecuador
GF05028202S,-79.08279602,-3.98109502,South America,Ecuador
GF05028201S,-79.08284129,-3.98109457,South America,Ecuador
GF05028200S,-79.08288713,-3.98109467,South America,Ecuador
GF05028199S,-79.0828055,-3.98107663,South America,Ecuador
GF05028198S,-79.0828054,-3.98112182,South America,Ecuador
GF05028197S,-79.08280467,-3.98119435,South America,Ecuador
GF05028196S,-79.08277779,-3.98149227,South America,Ecuador
GF05028195S,-79.08282285,-3.98147442,South America,Ecuador
GF05028194S,-79.08285871,-3.98147451,South America,Ecuador
GF05028193S,-79.08281378,-3.98138397,South America,Ecuador
GF05028192S,-79.08281388,-3.98143816,South America,Ecuador
GF05028191S,-79.08281366,-3.98148338,South America,Ecuador
GF05028190S,-79.08327461,-3.98086958,South America,Ecuador
GF05028189S,-79.08328294,-3.98086932,South America,Ecuador
GF05028188S,-79.08336433,-3.98086951,South America,Ecuador
GF05028187S,-79.08331977,-3.98079687,South America,Ecuador
GF05028186S,-79.08331969,-3.9808337,South America,Ecuador
GF05028185S,-79.0833201,-3.98089674,South America,Ecuador
GF05028184S,-79.08341918,-3.98063461,South America,Ecuador
GF05028183S,-79.0834639,-3.98063527,South America,Ecuador
GF05028182S,-79.08349973,-3.98063479,South America,Ecuador
GF05028181S,-79.08342805,-3.98064355,South America,Ecuador
GF05028180S,-79.08342689,-3.98066168,South America,Ecuador
GF05028179S,-79.08342818,-3.98070688,South America,Ecuador
GF05028178S,-79.0836453,-3.98008401,South America,Ecuador
GF05028177S,-79.08370832,-3.98008416,South America,Ecuador
GF05028176S,-79.08375347,-3.98008491,South America,Ecuador
GF05028175S,-79.08367269,-3.98003873,South America,Ecuador
GF05028174S,-79.08367194,-3.98008472,South America,Ecuador
GF05028173S,-79.08367214,-3.9801379,South America,Ecuador
GF05028172S,-79.08381614,-3.98028287,South America,Ecuador
GF05028171S,-79.08385187,-3.98028262,South America,Ecuador
GF05028170S,-79.08389702,-3.98028306,South America,Ecuador
GF05028169S,-79.08379777,-3.98022019,South America,Ecuador
GF05028168S,-79.08379797,-3.98027434,South America,Ecuador
GF05028167S,-79.08379815,-3.98033698,South America,Ecuador
GF05026793S,-49.6229,-28.1448,South America,Brazil
GF05026791S,-49.6325,-28.1493,South America,Brazil
GF05026789S,-49.6159,-28.1638,South America,Brazil
GF05026787S,-49.6409,-28.1541,South America,Brazil
GF05026785S,-48.963,-27.702,South America,Brazil
GF05026783S,-49.2404,-27.6987,South America,Brazil
GF05026781S,-49.2646,-27.7062,South America,Brazil
GF05026779S,-48.5603,-27.8318,South America,Brazil
GF05026777S,-48.5635,-27.8218,South America,Brazil
GF05026775S,-48.5115,-27.5289,South America,Brazil
GF05026773S,-48.5106,-27.5282,South America,Brazil
GF05026772S,-82.5103,8.812,South America,Panama
GF05026771S,-82.5103,8.8123,South America,Panama
GF05026770S,-82.5151,8.8097,South America,Panama
GF05026769S,-82.5158,8.8098,South America,Panama
GF05026768S,-82.559,8.8106,South America,Panama
GF05026767S,-82.5594,8.8112,South America,Panama
GF05026766S,-82.5596,8.8114,South America,Panama
GF05026765S,-82.2388,8.7223,South America,Panama
GF05026764S,-82.2388,8.7223,South America,Panama
GF05026763S,-79.927,8.6846,South America,Panama
GF05026762S,-79.9303,8.6822,South America,Panama
GF05026761S,-79.6961,9.1195,South America,Panama
GF05026760S,-82.1541,9.2592,South America,Panama
GF05026759S,-82.1537,9.2591,South America,Panama
GF05026758S,-82.366,8.0976,South America,Panama
GF05026757S,-82.3663,8.0972,South America,Panama
GF05026505S,-97.5025,20.483,North America,Mexico
GF05026504S,-97.5025,20.483,North America,Mexico
GF05026503S,-97.5025,20.483,North America,Mexico
GF05026502S,-97.5025,20.483,North America,Mexico
GF05026501S,-97.5025,20.483,North America,Mexico
GF05026500S,-97.5025,20.483,North America,Mexico
GF05026499S,-97.5025,20.483,North America,Mexico
GF05026498S,-97.5025,20.483,North America,Mexico
GF05026497S,-97.5025,20.483,North America,Mexico
GF05026496S,-97.5025,20.483,North America,Mexico
GF05026495S,-97.8894,20.505,North America,Mexico
GF05026494S,-97.8894,20.505,North America,Mexico
GF05026493S,-97.8894,20.505,North America,Mexico
GF05026492S,-97.8894,20.505,North America,Mexico
GF05026491S,-97.8894,20.505,North America,Mexico
GF05026490S,-97.8894,20.505,North America,Mexico
GF05026489S,-97.8894,20.505,North America,Mexico
GF05026488S,-97.8894,20.505,North America,Mexico
GF05026487S,-97.8894,20.505,North America,Mexico
GF05026486S,-97.8894,20.505,North America,Mexico
GF05026485S,-97.3022,20.4169,North America,Mexico
GF05026484S,-97.3022,20.4169,North America,Mexico
GF05026483S,-97.3022,20.4169,North America,Mexico
GF05026482S,-97.3022,20.4169,North America,Mexico
GF05026481S,-97.3022,20.4169,North America,Mexico
GF05026480S,-97.3022,20.4169,North America,Mexico
GF05026479S,-97.3022,20.4169,North America,Mexico
GF05026478S,-97.3022,20.4169,North America,Mexico
GF05026477S,-97.3022,20.4169,North America,Mexico
GF05026476S,-97.3022,20.4169,North America,Mexico
GF05026475S,-96.9036,20.1791,North America,Mexico
GF05026474S,-96.9036,20.1791,North America,Mexico
GF05026473S,-96.9036,20.1791,North America,Mexico
GF05026472S,-96.9036,20.1791,North America,Mexico
GF05026471S,-96.9036,20.1791,North America,Mexico
GF05026470S,-96.9036,20.1791,North America,Mexico
GF05026469S,-96.9036,20.1791,North America,Mexico
GF05026468S,-96.9036,20.1791,North America,Mexico
GF05026467S,-96.9036,20.1791,North America,Mexico
